distcat,disttype,description,units
Disturbance,Burned,"Includes prescribed burns, wildfires, and slash-and-burn events.","cycles (slash-and-burn), times, ha, km2, kW m-1"
Disturbance,CO2_fumigation,Elevation of CO2 concentration using Free-Air CO2 Enrichment (FACE) or chambers,ppm
Disturbance,Cultivation,Any form of cultivation. Use Tillage if soil was tilled.,"months, seasons, years, harvests"
Disturbance,Cut,"Forest cutting, without removing wood from forest. 100% indicates clear-cutting. Slash-and-burn events are indicated by Burned + Cut (100 %).","%, ha"
Disturbance,Drained,Draining of wetlands (e.g. forest peat swamps).,NA
Disturbance,Drought,Significant drought.,NA
Disturbance,Flood ,Significant flood.,NA
Disturbance,Forest dieback,Forest dieback for other/unknown reason.,NA
Disturbance,Fertilization_X,"Fertilizer inputs. X refers to the nutrient (N, K, P, etc.), when known.","kg X ha-1, liters, mM"
Disturbance,Grazed,Use as pasture.,"years, individuals ha-1"
Disturbance,Harvest,Includes logging/partial logging. Can also be used to represent non-tilled agriculture. ,NA
Disturbance,Herbicide,Herbicide application.,kg ha-1
Disturbance,Irrigation,Experimental or agricultural irrigation,"mm yr-1, mm day-1"
Disturbance,Landslide,Disturbance by landslide,NA
Disturbance,Major storm,Includes major storms and hurricanes/typhoons.,NA
Disturbance,Pesticide,Pesticide application.,kg ha-1
Disturbance,Precipitation diversion,Experimental rain exclusion or partial blockage of precipitation. ,"mm, mm yr-1"
Disturbance,Shifting cultivation,Shifting cultivation.,NA
Disturbance,Soil disturbance,"Mechanical soil disturbance (e.g.,  ditching, trenching, installation of soil warming cables, soil scarification, adding soil to improve cultivation)", (depth)
Disturbance,Thinned,Partial logging.,"%, % stems, m-2, m3ha-1, n ha-1"
Disturbance,Tillage,Arable agriculture where soil was tilled.,NA
Disturbance,Warming_soil,"Experimental warming of soil (e.g., using buried heating cables).",increase in temp (degrees C)
Disturbance,Warming_air,"Experimental warming of air (e.g., using chambers).",increase in temp (degrees C)
Establishment,Establishment of oldest trees*,"Establishment of oldest trees. Date of establishment estimated based on age of the oldest trees (e.g., using cores and tree rings). This is not necessarily equal to the time of stand establishment, particularly for older stands. The year of Establishment of oldest trees can be calculated if both stand.age and measurement date are given in the traits table. *Indicates record where it was assumed that establishment of oldest trees occurred in the same year as the initiation of forest regrowth/natural succession.",NA
No.disturbance,No disturbance,"Indicates no known significant disturbance since the associated year. In some cases, this year corresponds to the year in which the site received protected status (these cases are identified in the notes section)",NA
No.info,NAC,Not Acquired - Information may be available but has not been acquired.,NA
No.info,NI,No Information - Publication does not contain the required information.,NA
No.info,NRA,"Not Readily Available - Information was not readily available to the authors (e.g., publication not readily available).",NA
Regrowth,Initiation of forest regrowth*,Initiation of forest regrowth (when unknown whether natural or planted). *Indicates record where it was assumed that this was the same year as establishment of oldest trees.,NA
Regrowth,Initiation of natural succession*,"Initiation of natural succession. Date of event estimated based on land history records (e.g., records of fire history, satellite records of land cover, and interviews of land owners). *Indicates record where it was assumed that this was the same year as establishment of oldest trees. ",NA
Regrowth,Planted,Planting/transplanting of seedlings.,"plants m-2, plants ha-1, plants per chamber, plants"
Regrowth,Seeded,Sowing of seeds.,stems ha-1
