plothistoryID,sites.sitename,plot.name,plotarea,event.sequence,date,dateloc,distcat,disttype,level,units,percent.mortality,distnotes,plothistoryID.v1,tropical_extratropical
1,4 Rios,Tropical Wet Forest recovery following pasture abandonment,NAC,1,NI,9,Disturbance,Grazed,NA,NA,100,history event derived from plot.name,NA,tropical
1.1,4 Rios,Tropical Wet Forest recovery following pasture abandonment,NAC,2,NI,9,Regrowth,Initiation of post-disturbance cohort (natural)*,NA,NA,NA,history event derived from plot.name,NA,tropical
1.2,4 Rios,Tropical Wet Forest recovery following pasture abandonment,NAC,3,NI,9,Regrowth,Initiation of post-disturbance cohort (natural)*,NA,NA,NA,NA,NA,tropical
2,Acahual 1,Forest recovery following clear-cut and burn,2,1,1980,8,Disturbance,Burned,NA,NA,100,NA,6,tropical
3,Acahual 1,Forest recovery following clear-cut and burn,2,2,1980,8,Disturbance,Cut,100,%,100,clear-cut,7,tropical
4,Acahual 1,Forest recovery following clear-cut and burn,2,3,1980,8,Regrowth,Initiation of post-disturbance cohort (natural)*,NA,NA,NA,NA,8,tropical
5,Acahual 1,Forest recovery following clear-cut and burn,2,4,1980,8,Establishment,Establishment of oldest trees*,NA,NA,NA,NA,9,tropical
6,Acahual 2,Forest recovery following clear-cut and burn,2,1,1972,8,Disturbance,Burned,NA,NA,100,NA,10,tropical
7,Acahual 2,Forest recovery following clear-cut and burn,2,2,1972,8,Disturbance,Cut,100,%,100,clear-cut,11,tropical
8,Acahual 2,Forest recovery following clear-cut and burn,2,3,1973,8,Regrowth,Initiation of post-disturbance cohort (natural)*,NA,NA,NA,NA,12,tropical
9,Acahual 2,Forest recovery following clear-cut and burn,2,4,1973,8,Establishment,Establishment of oldest trees*,NA,NA,NA,NA,13,tropical
10,Agrovila Grande Esperanca.BR-230,secondary forest established in abandoned pasture,NAC,1,NRA,9,Disturbance,Grazed,NA,NA,NA,NA,1622,tropical
11,Agrovila Grande Esperanca.BR-230,secondary forest established in abandoned pasture,NAC,2,NRA,9,Regrowth,Initiation of post-disturbance cohort (planted or natural),NA,NA,NA,NA,1623,tropical
12,Agua Pudre plot E AGP-01,UM primary forest,1,1,NI,9,No.disturbance,No disturbance,NA,NA,NA,Unmanaged primary forest,2268,tropical
13,Agua Pudre plot U AGP-02,UM primary forest,1,1,NI,9,No.disturbance,No disturbance,NA,NA,NA,Unmanaged primary forest,2269,tropical
14,Aguas Claras,teak plantation,NAC,1,1979,8.5,Regrowth,Planted,NA,NA,NA,"established in 1978-1979. These are small-scale plantations of about 5 ha each, and have received very little management, with only natural thinning and no undergrowth removal",1897,tropical
15,Aguas Claras,teak plantation,NAC,2,1979,8.5,Establishment,Establishment of oldest trees,NA,NA,NA,NA,2231,tropical
16,Agumbe,Mature Rain forest,0.44,1,NAC,9,No.info,NAC,NA,NA,NA,NA,2061,tropical
17,Alava,natural regeneration of abandoned agroforestry secondary forest,NAC,1,NI,9,Disturbance,Cultivation,NA,NA,100,"agroforestry (taro, coconut, and/or breadfruit)",1648,tropical
18,Alava,natural regeneration of abandoned agroforestry secondary forest,NAC,2,1950,8.5,Regrowth,Initiation of post-disturbance cohort (natural),NA,NA,NA,Abandoned 30-40 years prior to interview with landowner,1649,tropical
19,Alava,natural regeneration of abandoned agroforestry secondary forest,NAC,3,1990,8,Disturbance,Major storm,NA,NA,<100%,more affected by hurricane because more exposed,1650,tropical
20,Alberga,mature 'old growth' forest,NAC,1,NAC,9,No.disturbance,No disturbance,NA,NA,NA,NAC,NA,tropical
21,Aleman,Premontane Rain Forest recovery following pasture abandonment,NAC,1,NI,9,Disturbance,Grazed,NA,NA,100,history event derived from plot.name,NA,tropical
