"sites.sitename","country","lat","lon","masl","mat","map","geographic.area","biogeog","Koeppen","FAO.ecozone","plot.name","plot.area","year.establishment.oldest.trees","regrowth.hist.type","regrowth.year","dist.mrs.hist.type","dist.mrs.yr"
"4 Rios","Costa Rica",10.3888,-84.1327,248,24.2,3967,1,"Neotropics","Am","Tropical rainforest","Tropical Wet Forest recovery following pasture abandonment","NAC","NI","Initiation of post-disturbance cohort (natural)","NI","Grazed","NI"
"Aakre","Estonia",58.03,26.016,NA,5.4,675,2,"Palearctic","Dfb","Temperate continental forest","Forest recovery following agricultural abandonment","NAC","1949","Initiation of post-disturbance cohort (natural)","1949","Cultivation","NAC"
"Aberfeldy/Griffins","United Kingdom",56.6,-3.78,340,7.6,1195.25,3,"Palearctic","Cfb","Boreal coniferous forest","plantation forest","NAC","1980","Planted","1980","NAC","NAC"
"Acahual 1","Mexico",17.29,-94.58,150,25.775,3640,4,"Neotropics","Aw","Tropical rainforest","Forest recovery following clear-cut and burn","2","1980","Initiation of post-disturbance cohort (natural)","1980","Burned","1980"
"Acahual 2","Mexico",17.29,-94.58,150,25.775,3640,4,"Neotropics","Aw","Tropical rainforest","Forest recovery following clear-cut and burn","2","1973","Initiation of post-disturbance cohort (natural)","1973","Burned","1972"
"Agrovila Grande Esperanca.BR-230","Brazil",-3.366667,-52.616667,100,23.65,1697,5,"Neotropics","Am","Tropical rainforest","secondary forest established in abandoned pasture","NAC","NAC","Initiation of post-disturbance cohort (planted or natural)","NRA","Grazed","NRA"
"Agua Pudre plot E AGP-01","Colombia",-3.73,-70.4,105,25.5,2723,6,"Neotropics","Af","Tropical rainforest","UM primary forest","1","NAC","NAC","NAC","No disturbance","NI"
"Agua Pudre plot U AGP-02","Colombia",-3.72,-70.3,110,25.5,2723,6,"Neotropics","Af","Tropical rainforest","UM primary forest","1","NAC","NAC","NAC","No disturbance","NI"
"Aguas Claras","Panama",9.333333,-79.833333,NA,NA,2650,7,"Neotropics","Am","Tropical rainforest","teak plantation","NAC","1979","Planted","1979","NAC","NAC"
"Agumbe","India",13.52,75.1,575,22.2,7670,8,"IndoMalay","Aw","Tropical rainforest","Mature Rain forest","0.44","NAC","NAC","NAC","NAC","NAC"
"Aheden","Sweden",64.21,19.5,175,1,588,9,"Palearctic","Dfc","Boreal coniferous forest","UM","NAC","1815","NAC","NAC","NAC","NAC"
"Aheden 2","Sweden",64.23,19.76,175,1,600,9,"Palearctic","Dfc","Boreal coniferous forest","NI","NAC","1953","Initiation of post-disturbance cohort (planted or natural)","1953","NAC","NAC"
"Ailao","China",24.5333,101.0017,NA,11.3,1840,10,"IndoMalay","Cwb","Subtropical mountain system","old-growth subtropical Asian evergreen forest","NAC","NAC","NAC","NAC","NAC","NAC"
"Akou","Japan",34.7349444,134.3743056,10,15.43,962,11,"Palearctic","Cfa",NA,"plantation forest","NAC","1987","Planted","1987","NAC","NAC"
"Alaska","United States of America",64.75,-148.25,NA,-3.5,269,12,"Nearctic","Dfc","Boreal tundra woodland","Picea glauca, P. marina, Populus/Alnus, Betula papyrifera","NAC","NAC","NAC","NAC","NAC","NAC"
"Alaska - interior","United States of America",64,-147,NA,NA,NA,13,"Nearctic","Dfc","Boreal mountain system","subartic black spruce forest","NAC","NAC","NAC","NAC","NAC","NAC"
"Alaskan coast","United States of America",58.37,-134.72,NA,10,3550,14,"Neartic","Dfc","Temperate mountain system","Tsuga heterophylla, Chamaecyparis nootkatensis, T. mertensiana","NAC","NAC","NAC","NAC","NAC","NAC"
"Alatskivi 1","Estonia",58.55,27.083,NA,5.4,675,15,"Palearctic","Dfb","Temperate continental forest","Forest recovery following agricultural abandonment","NAC","1995","Initiation of post-disturbance cohort (natural)","1995","Cultivation","NAC"
"Alatskivi 2","Estonia",58.617,27.03,NA,5.4,675,15,"Palearctic","Dfb","Temperate continental forest","Forest recovery following agricultural abandonment","NAC","1977","Initiation of post-disturbance cohort (natural)","1977","Cultivation","NAC"
"Alava","American Samoa",-14.264369,-170.688202,NA,26.9,3207,16,"Oceania","Af","Tropical rainforest","natural regeneration of abandoned agroforestry secondary forest","NAC","NAC","Initiation of post-disturbance cohort (natural)","1950","Cultivation","NI"
"Alberga","Suriname",5.341,-55.764,NA,NA,2156,17,"Neotropics","Af","Tropical moist forest","mature 'old growth' forest","NAC","NAC","NAC","NAC","No disturbance","NAC"
"Alberta","Canada",54.25,-117,NA,2.6,500,18,"Nearctic","Dfc","Boreal coniferous forest","Pinus contorta, Populus tremulous, Picea glauca","NAC","NAC","NAC","NAC","NAC","NAC"
