siteID,sites.sitename,city,state,country,lat,lon,masl,geography.notes,mat,min.temp,max.temp,map,climate.notes,soil.texture,soil.classification,soilnotes,hydrology.notes,sitenotes,siteref,area,biogeog,Koeppen,FAOecozone,siteID.v1,tropical_extratropical,indicates.site.that.lacks.info.direct.from.pub,loaded_from,loaded_by
1,4 Rios,NAC,Heredia,Costa Rica,10.3888,-84.1327,248,NA,24.2,NAC,NAC,3967,NA,NAC, Inceptisol  ,NA,NAC,NA,NA,NA,Neotropics,Am,Tropical rainforest,1301,tropical,,,
2,Acahual 1,Hidalgotitlan,Veracruz,Mexico,17.29,-94.58,150,NA,25.775,NAC,NAC,3640,NA,NAC,Oxisol; Alfisol,"Soils are derived principally from sedimentary rocks of limestone, shale and sandstone, with Oxisols and Alfisols being the most comon soil types encountered.",NAC,NA,NA,129,Neotropics,Aw,Tropical rainforest,336,tropical,,,
3,Acahual 2,Hidalgotitlan,Veracruz,Mexico,17.29,-94.58,150,NA,25.775,NAC,NAC,3640,NA,NAC,Oxisol; Alfisol,"Soils are derived principally from sedimentary rocks of limestone, shale and sandstone, with Oxisols and Alfisols being the most comon soil types encountered.",NAC,NA,NA,129,Neotropics,Aw,Tropical rainforest,337,tropical,,,
4,Agrovila Grande Esperanca.BR-230,Altamira,Para,Brazil,-3.366667,-52.616667,100,NA,23.65,NAC,NAC,1697,NA,NAC,"ultisols, oxisols, and a few spots of alfisols",NA,NAC,NA,NA,31,Neotropics,Am,Tropical rainforest,70,tropical,,,
5,Agua Pudre plot E AGP-01,NAC,Amazonas,Colombia,-3.73,-70.4,105,NA,25.5,NAC,NAC,2723,NA,clay loam,Oxisol,"Endostagnic Plinthosol (Alumic, Hyperdystic)",NAC,NA,Aragao et al 2009; Jimenez et al 2009,162,Neotropics,Af,Tropical rainforest,443,tropical,,,
6,Agua Pudre plot U AGP-02,NAC,Amazonas,Colombia,-3.72,-70.3,110,NA,25.5,NAC,NAC,2723,NA,clay loam,Oxisol,"Endostagnic Plinthosol (Alumic, Hyperdystic)",NAC,NA,Aragao et al 2009; Jimenez et al 2009,162,Neotropics,Af,Tropical rainforest,444,tropical,,,
7,Aguas Claras,NAC,Colon,Panama,9.333333,-79.833333,NAC,in Soberania National Park. ,NAC,NAC,NAC,2650, 4 month long dry season from Dec-April,slightly clayey loam,NAC,Dark-yellowish-brown surface,NAC,NA,NA,97,Neotropics,Am,Tropical rainforest,281,tropical,,,
8,Agumbe,NAC,Karnataka,India,13.52,75.1,575,NA,22.2,NAC,NAC,7670,NA,NAC,NAC,Oxisol,NAC,Rain forest,"Rai and Proctor 1986a,b",124,IndoMalay,Aw,Tropical rainforest,329,tropical,,,
9,Alava,Tutuila,Eastern District,American Samoa,-14.264369,-170.688202,NAC,ori coords fell in ocean. New coords from gmaps,26.9,NAC,NAC,3207,NA,clay,Mollisol,Lithic Hapludoll-Rock outcrop association,NAC,NA,NA,5,Oceania,Af,Tropical rainforest,12,tropical,,,
10,Alberga,NAC,Para,Suriname,5.341,-55.764,NAC,NA,NAC,NAC,NAC,2156,NA,NAC,NAC,NA,NAC,NA,NA,NA,Neotropics,Af,Tropical moist forest,1367,tropical,,,
11,Aleman,NAC,Alajuela,Costa Rica,10.3019,-84.7408,962,NA,21.6,NAC,NAC,5800,NA,NAC,Andisol  ,NA,NAC,NA,NA,NA,Neotropics,Aw,Tropical rainforest,1306,tropical,,,
12,Allpahuayo A,NAC,Loreto,Peru,-4,-73.4,NAC,NA,NAC,NAC,NAC,NAC,NA,NAC,NAC,NA,NAC,NA,This study,NA,Neotropics,Af,Tropical rainforest,1421,tropical,,,
13,Allpahuayo A ALP11/ALP12,NAC,Loreto,Peru,-3.95,-73.4333,120,NA,25.2,NAC,NAC,2689,NA,sandy loam,Alisol/Gleysol,"This site is located on an infertile, sandy upper soil layer; however, there is evidence that tree roots may have access to a deeper, more fertile soil and thus contribute to the high productivity observed (P.V.A. Fine, personal communications).",NAC,NA,del Aguila-Pasquel et al. 2014,27,Neotropics,Af,Tropical rainforest,459,tropical,,,
14,Allpahuayo A clay-rich soils,NAC,Loreto,Peru,-3.95,-73.43,120,NA,26.3,NAC,NAC,2762,Dry season length 0.77 mths,NAC,entisol (typic endoaquent),NA,terra firma,NA,NA,27,Neotropics,Af,Tropical rainforest,58,tropical,,,
15,Allpahuayo A sandy soils,NAC,Loreto,Peru,-3.95,-73.43,120,NA,26.3,NAC,NAC,2762,Dry season length 0.77 mths,NAC,ultisol (typic paleudult),NA,terra firma,NA,NA,27,Neotropics,Af,Tropical rainforest,59,tropical,,,
16,Allpahuayo B,NAC,Loreto,Peru,-4,-73.4,NAC,NA,NAC,NAC,NAC,NAC,NA,NAC,NAC,NA,NAC,NA,This study,NA,Neotropics,Af,Tropical rainforest,1422,tropical,,,
17,Allpahuayo B clay-rich soils,NAC,Loreto,Peru,-3.95,-73.43,114,NA,26.3,NAC,NAC,2763,Dry season length 0.77 mths,NAC,ultisol (typic hapludult),NA,terra firma,NA,Malhi et al. 2004,27,Neotropics,Af,Tropical rainforest,60,tropical,,,
18,Allpahuayo B sandy soils,NAC,Loreto,Peru,-3.95,-73.43,114,NA,26.3,NAC,NAC,2763,Dry season length 0.77 mths,NAC,entisol (spodic udipsamment),NA,terra firma,NA,Malhi et al. 2004,27,Neotropics,Af,Tropical rainforest,61,tropical,,,
19,Allpahuayo C ALP30,NAC,Loreto,Peru,-3.9543,-73.4267,150,NA,25.2,NAC,NAC,2689,NA,loamy sand,Arenosol,NA,NAC,NA,del Aguila-Pasquel et al. 2014,27,Neotropics,Af,Tropical rainforest,460,tropical,,,
20,AM10,Manaus,Amazonas,Brazil,-3.06,-60,NAC,NA,25.6,NAC,NAC,2100,NA,clay,Oxisol,Mostly clayey oxisols with patches of sandy soils in valley bottoms (AM10).,NAC,NA,NA,34,Neotropics,Af,Tropical rainforest,82,tropical,,,
21,Amacayacu E,NAC,Amazonas,Colombia,-3.72,-70.3,NAC,NA,NAC,NAC,NAC,2888,rainfall seasonality index SR (%) = 0.13,NAC,Plinthosol,NA,NAC,NA,NA,NA,Neotropics,Af,Tropical rainforest,1167,tropical,,,
22,Amacayacu U,NAC,Amazonas,Colombia,-3.72,-70.3,NAC,NA,NAC,NAC,NAC,2888,rainfall seasonality index SR (%) = 0.13,NAC,Plinthosol,NA,NAC,NA,NA,NA,Neotropics,Af,Tropical rainforest,1168,tropical,,,
23,Amalau,Tutuila,Eastern District,American Samoa,-14.256152,-170.661824,NAC,ori coords fell in ocean. New coords from gmaps,26.9,NAC,NAC,3207,NA,stony silty clay loam (talus),NAC,"very stony silty clay loam (Nakamura 1984), hereafter referred to as 'talus' and characterized by a loose layer of variable-sized stones and rocks overlaying a clay soil",NAC,NA,NA,5,Oceania,Af,Tropical rainforest,13,tropical,,,
24,Anandgoan,NAC,Chhattisgarh,India,21.9,81.55,300,NA,27.75,13.2,42.3,1200,NA,clay,Entisol,The soil of the study area is red laterite derived from metamorphicrock with stones and ferruginous gravel and classifed as Entisols.,NAC,NA,NA,149,IndoMalay,Aw,Tropical dry forest,397,tropical,,,
25,"Anangu, A1",NAC,Orellana,Ecuador,-0.53,-76.43,250,NA,25.77,NAC,NAC,3252,Dry season length 0.31 mths,NAC,ultisol,NA,seasonally flooded,NA,Korning (1992),44,Neotropics,Af,Tropical rainforest,466,tropical,,,
26,"Anangu, A2",NAC,Orellana,Ecuador,-0.53,-76.43,310,NA,25.47,NAC,NAC,3252,Dry season length 0.31 mths,NAC,ultisol,NA,terra firma,NA,Korning (1992),44,Neotropics,Af,Tropical rainforest,467,tropical,,,
27,"Anangu, A3",NAC,Orellana,Ecuador,-0.53,-76.43,370,NA,25.17,NAC,NAC,3252,Dry season length 0.31 mths,NAC,ultisol,NA,terra firma,NA,Korning (1992),44,Neotropics,Af,Tropical rainforest,468,tropical,,,
28,"Apiau,Roraima",NAC,Roraima,Brazil,2.57,-61.3,NAC,NA,NAC,NAC,NAC,1902,rainfall seasonality index SR (%) = 0.47,NAC,Acrisol,NA,NAC,NA,NA,NA,Neotropics,Am,Tropical moist forest,1169,tropical,,,
29,Araracuara,NAC,Amazonas,Colombia,-0.63,-72.37,NAC,NA,25.5,NAC,NAC,2998,NA,NAC,NAC,NA,NAC,NA,NA,47,Neotropics,Af,Tropical rainforest,131,tropical,,,
30,Arroyo Negro,Yucatan,Campeche,Mexico,17.883,-89.283,NAC,NA,25,NAC,NAC,1418,NA,NAC,NAC,"Regionally, soils are shallow, calcareous, and highly permeable due to organic matter content and under- lying limestone bedrock.",NAC,NA,NA,130,Neotropics,Aw,Tropical moist forest,338,tropical,,,
31,ASN-02_Asenanyo F.R. 2,NAC,Ashanti,Ghana,6.56,-2.22,270,NA,25.7,NAC,NAC,1416,NA,NAC,NAC,NA,NAC,NA,NA,86,Afrotropics,Aw,Tropical rainforest,255,tropical,,,
32,ASN-04_Asenanyo F.R. 4,NAC,Ashanti,Ghana,6.48,-2.17,230,NA,25.6,NAC,NAC,1434,NA,NAC,NAC,NA,NAC,NA,NA,86,Afrotropics,Aw,Tropical rainforest,254,tropical,,,
33,ASU-01_Asukese F.R. 1,NAC,Brong-Ahafo,Ghana,7.14,-2.45,285,NA,25.9,NAC,NAC,1212,NA,NAC,NAC,NA,NAC,NA,NA,87,Afrotropics,Aw,Tropical rainforest,256,tropical,,,
34,Atherton Gadgarra,Athterton,Queensland,Australia,-17.3,145.72,700,NA,NAC,NAC,NAC,2100,NA,NAC,NAC,"typical krasnozem humox  (0.50/0.13/0.37 sand/silt/clay, 0-30 cm) ",NAC,NA,NA,2,Australasia,Cfa,Tropical rainforest,3,tropical,,,
35,Atherton Tableland,Athterton,Queensland,Australia,-17.28,145.57,720,NA,20,14.7,20.2,1427,NA,NAC,NAC,dark red basaltic / krasnozem 0.15/0.38/0.47 sand/silt/clay (0-30 cm),NAC,NA,NA,2,Australasia,Cfa,Tropical rainforest,4,tropical,,,
36,Atherton Wongabel,Athterton,Queensland,Australia,-17.32,145.5,760,NA,NAC,NAC,NAC,1560,NA,NAC,NAC,"typical krasnozem ochrept; (0.53/0.12/0.34 sand/silt/clay, 0-30 cm)",NAC,NA,NA,2,Australasia,Cfa,Tropical rainforest,2,tropical,,,
37,Bago Mountain swidden cultivation fallows chronosequence,Karen,Bago,Myanmar,18.875,95.891,350,NA,27,NAC,NAC,1900,NA,NAC,Ultisol,NA,NAC,NA,NA,143,IndoMalay,Aw,Tropical rainforest,385,tropical,,,
38,Baisha,NAC,Guangxi,China,21.7,109.6,NAC,NA,23.8,NAC,NAC,1581,NA,NAC,NAC,NA,NAC,NA,NA,152,IndoMalay,Cwa,Subtropical humid forest,404,tropical,,,
39,Bajo Calima Concession Chronosequence,NAC,Valle del Cauca,Colombia,3.916667,-77,100,NA,27.3,21.4,30.3,7000,transitional tropical wet - rain forest,clay,Entisol,NA,NAC,NA,NA,NA,Neotropics,Af,Tropical rainforest,1400,tropical,,,
40,BAN-01b_Banco IBP Plateau,NAC,Lagunes,Cote D'Ivoire,5.53,-4.03,50,NA,26.2,NAC,NAC,1683,NA,NAC,NAC,NA,NAC,NA,NA,81,Afrotropics,Aw,Tropical rainforest,242,tropical,,,
41,BAN-02b_Banco IBP Valley,NAC,Lagunes,Cote D'Ivoire,5.53,-4.03,50,NA,26.2,NAC,NAC,1683,NA,NAC,NAC,NA,NAC,NA,NA,81,Afrotropics,Aw,Tropical rainforest,243,tropical,,,
42,Banco plateau,NAC,Lagunes,Cote D'Ivoire,5.38,-4.03,100,elevation approx.- probably 50-100 m,26.2,NAC,NAC,2095,NA,NAC,NAC,Very sandy,NAC,NA,"Huttel 1975. Bernhard-Reversat et al. 1972,1978",81,Afrotropics,Aw,Tropical rainforest,240,tropical,,,
43,Banco Valley,NAC,Lagunes,Cote D'Ivoire,5.38,-4.03,50,elevation approx.- probably 50-100 m,26.2,NAC,NAC,NAC,NA,NAC,NAC,Very sandy,NAC,NA,Huttel 1975 (roots); Bernhard-Reversat et al. 1978 (everything else),81,Afrotropics,Aw,Tropical rainforest,241,tropical,,,
44,Bannadpare,NAC,Karnataka,India,12.08,75.7,200,NA,27,NAC,NAC,5310,NA,NAC,NAC,Oxisol,NAC,Rain forest,"Rai and Proctor 1986a,b",121,IndoMalay,Am,Tropical rainforest,326,tropical,,,
45,"Barama, NW Guyana",NAC,Barima-Waini,Guyana,7.7,-59.943,NAC,NA,NAC,NAC,NAC,2599,NA,NAC,NAC,NA,NAC,NA,NA,NA,Neotropics,Af,Tropical rainforest,1357,tropical,,,
46,Barro Colorado Island chronosequence,NAC,Panama,Panama,9.15,-79.833,NAC,NA,26,NAC,NAC,2600,NA,NAC,NAC,NA,NAC,NA,NA,97,Neotropics,Am,Tropical moist forest,277,tropical,,,
47,Barro Colorado Island CTFS-ForestGEO plot,NA,Panama,Panama,9.1543,-79.8461,130,NA,27.1,NAC,NAC,2551,Dry season length 3.54 mths,NAC,ultisol,NA,terra firma,NA,"Foster 1982, Anderson-Teixeira et al. 2015 (and references therein)",97,Neotropics,Am,Tropical moist forest,470,tropical,,,
48,BCI Putz & Milton,NAC,Panama,Panama,9.17,-79.85,100,NA,26.26,NAC,NAC,2912,Dry season length 3.54 mths,NAC,ultisol,NA,terra firma,NA,NA,97,Neotropics,Am,Tropical moist forest,469,tropical,,,
49,BCI.poachers1,NAC,Colon,Panama,9.28,-79.8,NAC,NA,NAC,NAC,NAC,2617,rainfall seasonality index SR (%) = 0.34,NAC,Acrisol,NA,NAC,NA,NA,NA,Neotropics,Am,Tropical rainforest,1170,tropical,,,
50,BCI.poachers2,NAC,Colon,Panama,9.28,-79.8,NAC,NA,NAC,NAC,NAC,2617,rainfall seasonality index SR (%) = 0.34,NAC,Acrisol,NA,NAC,NA,NA,NA,Neotropics,Am,Tropical rainforest,1171,tropical,,,
51,BCI.poachers3,NAC,Colon,Panama,9.28,-79.8,NAC,NA,NAC,NAC,NAC,2617,rainfall seasonality index SR (%) = 0.34,NAC,Acrisol,NA,NAC,NA,NA,NA,Neotropics,Am,Tropical rainforest,1172,tropical,,,
