variables.type,variables.name,units,description,equations,requires_allometry,requires_min_dbh,requires_depth,associated.covariate_1,associated.covariate_2,min,max,notes
primary,NEE_annual,Mg C ha-1 yr-1,"Annual net ecosystem exchange of CO2 between ecosystem, commonly measured using eddy-covariance. Sign convention: negative indicates C uptake",* NEE_annual = -NEP_annual = Reco_annual - GPP_C_annual,0,0,0,u*,NA,NAC,NAC,"*Equation assumes minimal vertical advection, respiration-derived dissolved inorganic carbon, and non-repiratory CO2 fluxes (e.g., from fire or ultraviolet oxidation of organic matter); see Chapin et al. 2006"
primary,NEE_cum,Mg C ha-1 (timestep)-1,Cumulative net ecosystem exchange over a specified time frame (measured using eddy-covariance or gas exchange in a closed chamber). Sign convention: negative indicates C uptake,NEE_cum =  Reco_cum - GPP_cum,0,0,0,u*,NA,NAC,NAC,Applies to timeframes other than one year. Meaninful only in conjunction with start and end date.
primary,NEP_annual,Mg C ha-1 yr-1,Net ecosystem production estimated biometrically / from ground-based measurements,NEP_annual = GPP_C_annual - Reco_annual,0,0,0,NA,NA,NAC,NAC,Covariates will depend on methodology. Currently not acquired for any records in the database.
primary,GPP_C_annual,Mg C ha-1 yr-1,"Annual gross primary production, commonly estimated through flux partitioning of eddy covariance. A.k.a. ""Gross Ecosystem Production"".",(1)* GPP_C_annual = Reco_annual - NEE_annual; (2)** GPP_C_annual = NPP_5 + R_auto_annual,0,0,0,u*,NA,NAC,NAC,"*Equation 1 assumes minimal vertical advection, respiration-derived dissolved inorganic carbon, and non-repiratory CO2 fluxes (e.g., from fire or ultraviolet oxidation of organic matter); see Chapin et al. 2006. **Equation 2 assumes no net change in non-structural carbohydrate storage."
primary,GPP_C_cum,Mg C ha-1 (timestep)-1,Cumulative GPP over a specified time frame. Sign convention: positive.,NEE_cum =  Reco_cum - GPP_C_cum,0,0,0,u*,NA,NAC,NAC,Applies to timeframes other than one year. Meaninful only in conjunction with start and end date.
primary,TBCF,Mg C ha-1 yr-1,Total belowground C flux (through roots),TBCF=GPP-ANPP_C* - R_ag_annual,0,0,0,NA,NA,NAC,NAC,"*equation applies only if ANPP_C is throughly quantified, including all aboveground components"
primary,NPP_1,Mg ha-1 yr-1,"NPP, including foliage, branch, stem, coarse root, and fine root. ",NPP_1= ANPP_foliage + (ANPP_stem + ANPP_branch) + BNPP_coarse root + BNPP_fine root,1,1,1,include_recruitment,NA,NAC,NAC,NA
primary,NPP_1_C,Mg C ha-1 yr-1,"NPP, including foliage, branch, stem, coarse root, and fine root. ",NPP_1_C= ANPP_foliage_C + (ANPP_stem_C + ANPP_branch_C) + BNPP_coarse root_C + BNPP_fine root_C,1,1,1,include_recruitment,NA,NAC,NAC,NA
primary,NPP_2,Mg ha-1 yr-1,"NPP, including foliage, branch, stem, coarse root, fine root, and understory.  ",NPP_2 = NPP_1 + NPP_understory,1,1,1,include_recruitment,NA,NAC,NAC,NA
primary,NPP_2_C,Mg C ha-1 yr-1,"NPP, including foliage, branch, stem, coarse root, fine root, and understory.  ",NPP_2_C = NPP_1_C + NPP_understory_C,1,1,1,include_recruitment,NA,NAC,NAC,NA
