"history.ID","sites.sitename"
6937.01,"Yellowstone National Park (YNP): 7-Mile BridgeCascade Meadows"
6937.02,"Yellowstone National Park (YNP): 7-Mile BridgeCascade Meadows"
6937.03,"Yellowstone National Park (YNP): 7-Mile BridgeCascade Meadows"
6938.01,"Yellowstone National Park (YNP): 7-Mile BridgeLewis Canyon North"
6938.02,"Yellowstone National Park (YNP): 7-Mile BridgeLewis Canyon North"
6938.03,"Yellowstone National Park (YNP): 7-Mile BridgeLewis Canyon North"
6939.01,"Yellowstone National Park (YNP): 7-Mile BridgeLewis Canyon South"
6939.02,"Yellowstone National Park (YNP): 7-Mile BridgeLewis Canyon South"
6939.03,"Yellowstone National Park (YNP): 7-Mile BridgeLewis Canyon South"
6941.01,"Yellowstone National Park (YNP): 7-Mile BridgeCygnet Lakes"
6941.02,"Yellowstone National Park (YNP): 7-Mile BridgeCygnet Lakes"
6941.03,"Yellowstone National Park (YNP): 7-Mile BridgeCygnet Lakes"
6943.01,"Yellowstone National Park (YNP): 7-Mile BridgePitchstone Plateau"
6943.02,"Yellowstone National Park (YNP): 7-Mile BridgePitchstone Plateau"
6943.03,"Yellowstone National Park (YNP): 7-Mile BridgePitchstone Plateau"
6944.01,"Yellowstone National Park (YNP): 7-Mile BridgeRiddle Lake"
6944.02,"Yellowstone National Park (YNP): 7-Mile BridgeRiddle Lake"
6944.03,"Yellowstone National Park (YNP): 7-Mile BridgeRiddle Lake"
6945.01,"Yellowstone National Park (YNP): 7-Mile BridgeBiscuit Basin"
6945.02,"Yellowstone National Park (YNP): 7-Mile BridgeBiscuit Basin"
6945.03,"Yellowstone National Park (YNP): 7-Mile BridgeBiscuit Basin"
6946.01,"Yellowstone National Park (YNP): 7-Mile BridgeHoward Eaton"
6946.02,"Yellowstone National Park (YNP): 7-Mile BridgeHoward Eaton"
6946.03,"Yellowstone National Park (YNP): 7-Mile BridgeHoward Eaton"
6947.01,"Yellowstone National Park (YNP): 7-Mile BridgeRiddle High"
6947.02,"Yellowstone National Park (YNP): 7-Mile BridgeRiddle High"
6947.03,"Yellowstone National Park (YNP): 7-Mile BridgeRiddle High"
6948.01,"Yellowstone National Park (YNP): 7-Mile BridgeFirehole Loop"
6948.02,"Yellowstone National Park (YNP): 7-Mile BridgeFirehole Loop"
6948.03,"Yellowstone National Park (YNP): 7-Mile BridgeFirehole Loop"
6949.01,"Yellowstone National Park (YNP): 7-Mile BridgeGibbon Falls"
6949.02,"Yellowstone National Park (YNP): 7-Mile BridgeGibbon Falls"
6949.03,"Yellowstone National Park (YNP): 7-Mile BridgeGibbon Falls"
