"plot.ID","sites.sitename","plot.name"
1497,"Manaus BR-174","Forest recovery following pasture abandonment.0-2-y"
1498,"Manaus BR-174","Forest recovery following pasture abandonment.12-14-y"
1499,"Manaus BR-174","Forest recovery following pasture abandonment.2-4-y"
1500,"Manaus BR-174","Forest recovery following pasture abandonment.4-6-y"
1501,"Manaus BR-174","Forest recovery following pasture abandonment.6-8-y"
6648,"Manaus BR-174","Dimona-2 regrowth stand regenerating via spontaneous natural regeneration established around 1988.5"
6650,"Manaus BR-174","Rodao-3 regrowth stand regenerating via spontaneous natural regeneration established around 1996.5"
6651,"Manaus BR-174","DAS-1 regrowth stand regenerating via spontaneous natural regeneration established around 2000"
6652,"Manaus BR-174","DAS-1 regrowth stand regenerating via spontaneous natural regeneration established around 2000.5"
6654,"Manaus BR-174","Rodao-4 regrowth stand regenerating via spontaneous natural regeneration established around 1998.5"
6656,"Manaus BR-174","DAS-2 regrowth stand regenerating via spontaneous natural regeneration established around 1996.5"
6658,"Manaus BR-174","Dimona-1 regrowth stand regenerating via spontaneous natural regeneration established around 1994.5"
6660,"Manaus BR-174","Dimona-3 regrowth stand regenerating via spontaneous natural regeneration established around 1994.5"
6662,"Manaus BR-174","Rodao-2 regrowth stand regenerating via spontaneous natural regeneration established around 1994.5"
6664,"Manaus BR-174","Rodao-1 regrowth stand regenerating via spontaneous natural regeneration established around 2000.5"
6666,"Manaus BR-174","DAS-3 regrowth stand regenerating via spontaneous natural regeneration established around 1988.5"
