"history.ID","sites.sitename","plot.name"
1497.01,"Manaus BR-174","Forest recovery following pasture abandonment.0-2-y (DAS-1 and Rodao-1)"
1497.02,"Manaus BR-174","Forest recovery following pasture abandonment.0-2-y (DAS-1 and Rodao-1)"
1497.03,"Manaus BR-174","Forest recovery following pasture abandonment.0-2-y (DAS-1 and Rodao-1)"
1497.04,"Manaus BR-174","Forest recovery following pasture abandonment.0-2-y (DAS-1 and Rodao-1)"
1497.05,"Manaus BR-174","Forest recovery following pasture abandonment.0-2-y (DAS-1 and Rodao-1)"
1497.06,"Manaus BR-174","Forest recovery following pasture abandonment.0-2-y (DAS-1 and Rodao-1)"
1498.01,"Manaus BR-174","Forest recovery following pasture abandonment.12-14-y (DAS-3 and Dimona-2)"
1498.02,"Manaus BR-174","Forest recovery following pasture abandonment.12-14-y (DAS-3 and Dimona-2)"
1498.03,"Manaus BR-174","Forest recovery following pasture abandonment.12-14-y (DAS-3 and Dimona-2)"
1498.04,"Manaus BR-174","Forest recovery following pasture abandonment.12-14-y (DAS-3 and Dimona-2)"
1498.05,"Manaus BR-174","Forest recovery following pasture abandonment.12-14-y (DAS-3 and Dimona-2)"
1498.06,"Manaus BR-174","Forest recovery following pasture abandonment.12-14-y (DAS-3 and Dimona-2)"
1499.01,"Manaus BR-174","Forest recovery following pasture abandonment.2-4-y (Rodao-4)"
1499.02,"Manaus BR-174","Forest recovery following pasture abandonment.2-4-y (Rodao-4)"
1499.03,"Manaus BR-174","Forest recovery following pasture abandonment.2-4-y (Rodao-4)"
1499.04,"Manaus BR-174","Forest recovery following pasture abandonment.2-4-y (Rodao-4)"
1499.05,"Manaus BR-174","Forest recovery following pasture abandonment.2-4-y (Rodao-4)"
1499.06,"Manaus BR-174","Forest recovery following pasture abandonment.2-4-y (Rodao-4)"
1500.01,"Manaus BR-174","Forest recovery following pasture abandonment.4-6-y (DAS-2 and Rodao-3)"
1500.02,"Manaus BR-174","Forest recovery following pasture abandonment.4-6-y (DAS-2 and Rodao-3)"
1500.03,"Manaus BR-174","Forest recovery following pasture abandonment.4-6-y (DAS-2 and Rodao-3)"
1500.04,"Manaus BR-174","Forest recovery following pasture abandonment.4-6-y (DAS-2 and Rodao-3)"
1500.05,"Manaus BR-174","Forest recovery following pasture abandonment.4-6-y (DAS-2 and Rodao-3)"
1500.06,"Manaus BR-174","Forest recovery following pasture abandonment.4-6-y (DAS-2 and Rodao-3)"
1501.01,"Manaus BR-174","Forest recovery following pasture abandonment.6-8-y (Dimona-1, -3 and Rodao-2)"
1501.02,"Manaus BR-174","Forest recovery following pasture abandonment.6-8-y (Dimona-1, -3 and Rodao-2)"
1501.03,"Manaus BR-174","Forest recovery following pasture abandonment.6-8-y (Dimona-1, -3 and Rodao-2)"
1501.04,"Manaus BR-174","Forest recovery following pasture abandonment.6-8-y (Dimona-1, -3 and Rodao-2)"
1501.05,"Manaus BR-174","Forest recovery following pasture abandonment.6-8-y (Dimona-1, -3 and Rodao-2)"
1501.06,"Manaus BR-174","Forest recovery following pasture abandonment.6-8-y (Dimona-1, -3 and Rodao-2)"
