"plot.ID","sites.sitename","plot.name"
6937,"Yellowstone National Park (YNP): 7-Mile BridgeCascade Meadows","13 yr low density forest recovery following wildfire"
6938,"Yellowstone National Park (YNP): 7-Mile BridgeLewis Canyon North","13 yr low density forest recovery following wildfire"
6939,"Yellowstone National Park (YNP): 7-Mile BridgeLewis Canyon South","13 yr mod density forest recovery following wildfire"
6941,"Yellowstone National Park (YNP): 7-Mile BridgeCygnet Lakes","13 yr low density forest recovery following wildfire"
6943,"Yellowstone National Park (YNP): 7-Mile BridgePitchstone Plateau","13 yr low density forest recovery following wildfire"
6944,"Yellowstone National Park (YNP): 7-Mile BridgeRiddle Lake","13 yr mod density forest recovery following wildfire"
6945,"Yellowstone National Park (YNP): 7-Mile BridgeBiscuit Basin","13 yr mod density forest recovery following wildfire"
6946,"Yellowstone National Park (YNP): 7-Mile BridgeHoward Eaton","13 yr mod density forest recovery following wildfire"
6947,"Yellowstone National Park (YNP): 7-Mile BridgeRiddle High","13 yr high density forest recovery following wildfire"
6948,"Yellowstone National Park (YNP): 7-Mile BridgeFirehole Loop","13 yr high density forest recovery following wildfire"
6949,"Yellowstone National Park (YNP): 7-Mile BridgeGibbon Falls","13 yr high density forest recovery following wildfire"
