"plot.ID","sites.sitename"
3457,"Yellowstone NP"
3458,"Yellowstone NP"
3469,"Croatian National Forest"
3630,"Subke_2004_fibn research site in Germany"
3918,"Isagi_1994_csac research site in Kyoto Japan"
3935,"Yaita City"
3936,"Yaita City"
3940,"Andaman-MNMF"
3941,"Andaman-MXMF"
4002,"Molchanov_2009_ceft research site in Russia"
4003,"Molchanov_2009_ceft research site in Russia"
4038,"Rhtkg"
4039,"Mtkg I"
4040,"Mtkg II"
4041,"Ptkg I"
4042,"Ptkg II"
4043,"Vatkg"
4075,"Matazul Farm"
4465,"Shisanling"
4466,"Shisanling"
4467,"Shisanling"
4836,"Merino"
4858,"INPA/WWF"
4985,"Cascade Head Experimental Forest"
4986,"Cascade Head Experimental Forest"
4987,"Cascade Head Experimental Forest"
4988,"Cascade Head Experimental Forest"
4989,"HJ Andrews Experimental Forest"
4990,"HJ Andrews Experimental Forest"
4991,"HJ Andrews Experimental Forest"
4992,"HJ Andrews Experimental Forest"
4993,"Metolius Basin"
4994,"Metolius Basin"
4995,"Metolius Basin"
4996,"Metolius Basin"
5012,"Vedrova_1997_omdi research site in Russia"
5040,"Antonov_1990_dosr research site in Bulgaria"
