"site.ID","sites.sitename"
3564,"Yellowstone National Park (YNP): Cascade Meadows"
5352,"Yellowstone National Park (YNP): Lewis Canyon North"
5353,"Yellowstone National Park (YNP): Lewis Canyon South"
3566,"Yellowstone National Park (YNP): Cygnet Lakes"
3567,"Yellowstone National Park (YNP): Pitchstone Plateau"
3568,"Yellowstone National Park (YNP): Riddle Lake"
3569,"Yellowstone National Park (YNP): Biscuit Basin"
3570,"Yellowstone National Park (YNP): Howard Eaton"
3571,"Yellowstone National Park (YNP): Riddle High"
3572,"Yellowstone National Park (YNP): Firehole Loop"
3573,"Yellowstone National Park (YNP): Gibbon Falls"
