"measurement.ID","sites.sitename","variable.name","mean","min_range","max_range"
17054,"Yellowstone National Park (YNP)","TBCF_C",2230000,0.68,24.6
17069,"Yellowstone National Park (YNP)","TBCF_C",34000,0.68,24.6
17072,"Yellowstone National Park (YNP)","TBCF_C",117000,0.68,24.6
17063,"Yellowstone National Park (YNP)","TBCF_C",175000,0.68,24.6
17055,"Yellowstone National Park (YNP)","ANPP_2_C",8727000,0,17.91
17062,"Yellowstone National Park (YNP)","ANPP_2_C",59000,0,17.91
17068,"Yellowstone National Park (YNP)","ANPP_2_C",76000,0,17.91
17073,"Yellowstone National Park (YNP)","ANPP_2_C",333000,0,17.91
17056,"Yellowstone National Park (YNP)","ANPP_woody_stem_C",7909000,0,18.05
17061,"Yellowstone National Park (YNP)","ANPP_woody_stem_C",159000,0,18.05
17067,"Yellowstone National Park (YNP)","ANPP_woody_stem_C",6000,0,18.05
17074,"Yellowstone National Park (YNP)","ANPP_woody_stem_C",99000,0,18.05
17057,"Yellowstone National Park (YNP)","ANPP_foliage_C",3e+05,0,6.03
17060,"Yellowstone National Park (YNP)","ANPP_foliage_C",182000,0,6.03
17066,"Yellowstone National Park (YNP)","ANPP_foliage_C",10000,0,6.03
17075,"Yellowstone National Park (YNP)","ANPP_foliage_C",134000,0,6.03
22491,"Yellowstone National Park (YNP)","ANPP_litterfall_0_C",33000,0,28
22475,"Yellowstone National Park (YNP)","ANPP_litterfall_0_C",53000,0,28
22483,"Yellowstone National Park (YNP)","ANPP_litterfall_0_C",42000,0,28
22499,"Yellowstone National Park (YNP)","ANPP_litterfall_0_C",37000,0,28
17058,"Yellowstone National Park (YNP)","BNPP_root_coarse_C",2148000,0,9.86
17071,"Yellowstone National Park (YNP)","BNPP_root_coarse_C",3000,0,9.86
17076,"Yellowstone National Park (YNP)","BNPP_root_coarse_C",56000,0,9.86
17065,"Yellowstone National Park (YNP)","BNPP_root_coarse_C",105000,0,9.86
49099,"Manaus BR-174","delta.agb_OM",11,-3.95,2.88
49100,"Manaus BR-174","delta.agb_C",5.6,-0.908,4.5
22492,"Yellowstone National Park (YNP)","biomass_ag_C",412000,0,1053
22476,"Yellowstone National Park (YNP)","biomass_ag_C",76000,0,1053
22484,"Yellowstone National Park (YNP)","biomass_ag_C",333000,0,1053
22500,"Yellowstone National Park (YNP)","biomass_ag_C",8727000,0,1053
22477,"Yellowstone National Park (YNP)","biomass_root_C",5000,0,181.63
22485,"Yellowstone National Park (YNP)","biomass_root_C",98000,0,181.63
22493,"Yellowstone National Park (YNP)","biomass_root_C",163000,0,181.63
22501,"Yellowstone National Park (YNP)","biomass_root_C",2216000,0,181.63
22478,"Yellowstone National Park (YNP)","biomass_root_coarse_C",3000,0,593.28
22486,"Yellowstone National Park (YNP)","biomass_root_coarse_C",56000,0,593.28
22494,"Yellowstone National Park (YNP)","biomass_root_coarse_C",105000,0,593.28
22502,"Yellowstone National Park (YNP)","biomass_root_coarse_C",2148000,0,593.28
22479,"Yellowstone National Park (YNP)","biomass_root_fine_C",2000,0.00012,38
22487,"Yellowstone National Park (YNP)","biomass_root_fine_C",42000,0.00012,38
22495,"Yellowstone National Park (YNP)","biomass_root_fine_C",58000,0.00012,38
22503,"Yellowstone National Park (YNP)","biomass_root_fine_C",68000,0.00012,38
22480,"Yellowstone National Park (YNP)","organic.layer_C",7526000,0,328.75
22488,"Yellowstone National Park (YNP)","organic.layer_C",6550000,0,328.75
22504,"Yellowstone National Park (YNP)","organic.layer_C",6122000,0,328.75
22496,"Yellowstone National Park (YNP)","organic.layer_C",5783000,0,328.75
17059,"Yellowstone National Park (YNP)","soil_C",3376000,2.2,1641
17070,"Yellowstone National Park (YNP)","soil_C",3586000,2.2,1641
17077,"Yellowstone National Park (YNP)","soil_C",2814000,2.2,1641
17064,"Yellowstone National Park (YNP)","soil_C",2383000,2.2,1641
