measurementID,sites.sitename,plot.name,stand.age,dominantveg,scientificname,acceptedsymbol,Regentype,Managementtype,variables.name,method_id,date,dateloc,start_date,start_dateloc,end_date,end_dateloc,mean,n,statname,stat,notes,covariate_1,coV1_value,coV1_units,covariate_2,coV2_value,coV2_units,covariate_3,coV3_value,coV3_units,dupcode,dupnum,citations.doi,citations.author,citations.year,citations.title,loaded_from,measurementID.v1,ForC_investigator
1,4 Rios,Tropical Wet Forest recovery following pasture abandonment,29,2TEB,NA,2TEB,natgrazed,UM,Deadwood,NAC,NI,9,NI,9,NI,9,7.1,16,,,NA,min_diameter,2.54,cm,NA,NA,NA,NA,NA,NA,0,0,phd thesis,Cifuentes-Jara,2008,Aboveground biomass and ecosystem carbon pools in tropical secondary forests growing in six life zones of Costa Rica,Bonner2013/original study,16194,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu"
2,4 Rios,Tropical Wet Forest recovery following pasture abandonment,29,2TEB,NA,2TEB,natgrazed,UM,Organic layer,NAC,NI,9,NI,9,NI,9,6.1,8,SE,0.8,Includes saplings,max_diameter,2.54,cm,NA,NA,NA,NA,NA,NA,0,0,phd thesis,Cifuentes-Jara,2008,Aboveground biomass and ecosystem carbon pools in tropical secondary forests growing in six life zones of Costa Rica,Bonner2013/original study,16248,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu"
3,4 Rios,Tropical Wet Forest recovery following pasture abandonment,29,2TEB,NA,2TEB,natgrazed,UM,Biomass_ag,NAC,NI,9,NI,9,NI,9,224.7,NI,NI,NI,trees only,min_dbh,0,cm,NA,NA,NA,NA,NA,NA,0,0,phd thesis,Cifuentes-Jara,2008,Aboveground biomass and ecosystem carbon pools in tropical secondary forests growing in six life zones of Costa Rica,Bonner2013/original study,16302,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu"
4,4 Rios,Tropical Wet Forest recovery following pasture abandonment,29,2TEB,NA,2TEB,natgrazed,UM,Biomass_ag,NAC,NI,9,NI,9,NI,9,233,NI,NI,NI,"palms,lianas,herbaceous,trees",min_dbh,0,cm,NA,NA,NA,NA,NA,NA,0,0,phd thesis,Cifuentes-Jara,2008,Aboveground biomass and ecosystem carbon pools in tropical secondary forests growing in six life zones of Costa Rica,Bonner2013/original study,16356,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu"
5,4 Rios,Tropical Wet Forest recovery following pasture abandonment,29,2TEB,NA,2TEB,natgrazed,UM,C_root_total,NAC,NI,9,NI,9,NI,9,24.5,NI,NI,NI,calculated based on TAGC using equations by Cairns et al. 1997 and assuming roots have 49% C content,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,phd thesis,Cifuentes-Jara,2008,Aboveground biomass and ecosystem carbon pools in tropical secondary forests growing in six life zones of Costa Rica,Bonner2013/original study,16410,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu"
6,4 Rios,Tropical Wet Forest recovery following pasture abandonment,29,2TEB,NA,2TEB,natgrazed,UM,SOC,NAC,NI,9,NI,9,NI,9,31.7,5,SE,31.7,NA,depth,10,cm,NA,NA,NA,NA,NA,NA,0,0,phd thesis,Cifuentes-Jara,2008,Aboveground biomass and ecosystem carbon pools in tropical secondary forests growing in six life zones of Costa Rica,Bonner2013/original study,16464,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu"
7,4 Rios,Tropical Wet Forest recovery following pasture abandonment,29,2TEB,NA,2TEB,natgrazed,UM,SOC,NAC,NI,9,NI,9,NI,9,61.1,10,SE,2.5,NA,depth,20,cm,NA,NA,NA,NA,NA,NA,0,0,phd thesis,Cifuentes-Jara,2008,Aboveground biomass and ecosystem carbon pools in tropical secondary forests growing in six life zones of Costa Rica,Bonner2013/original study,16518,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu"
8,4 Rios,Tropical Wet Forest recovery following pasture abandonment,29,2TEB,NA,2TEB,natgrazed,UM,SOC,NAC,NI,9,NI,9,NI,9,84.3,15,SE,3.3,NA,depth,30,cm,NA,NA,NA,NA,NA,NA,0,0,phd thesis,Cifuentes-Jara,2008,Aboveground biomass and ecosystem carbon pools in tropical secondary forests growing in six life zones of Costa Rica,Bonner2013/original study,16572,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu"
9,4 Rios,Tropical Wet Forest recovery following pasture abandonment,29,2TEB,NA,2TEB,natgrazed,UM,SOC,NAC,NI,9,NI,9,NI,9,116,20,SE,5.5,NA,depth,50,cm,NA,NA,NA,NA,NA,NA,0,0,phd thesis,Cifuentes-Jara,2008,Aboveground biomass and ecosystem carbon pools in tropical secondary forests growing in six life zones of Costa Rica,Bonner2013/original study,16625,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu"
10,4 Rios,Tropical Wet Forest recovery following pasture abandonment,29,2TEB,NA,2TEB,natgrazed,UM,SOC,NAC,NI,9,NI,9,NI,9,170.1,25,SE,8.3,NA,depth,100,cm,NA,NA,NA,NA,NA,NA,0,0,phd thesis,Cifuentes-Jara,2008,Aboveground biomass and ecosystem carbon pools in tropical secondary forests growing in six life zones of Costa Rica,Bonner2013/original study,16674,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu"
11,Acahual 1,Forest recovery following clear-cut and burn,0.8,2TEB,NA,2TEB,natother,UM,Biomass_ag,NAC,1980.01.01,8,NA,9,NA,9,4.69,30,SE,0.7,NA,min_dbh,2.5,cm,NA,NA,NA,NA,NA,NA,0,0,10.2307/2387652,Williams-Linera,1983,"Biomass and Nutrient Content in Two Successional Stages of Tropical Wet Forest in Uxpanapa, Mexico",Anderson et al. 2006,533,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu"
12,Acahual 1,Forest recovery following clear-cut and burn,0.8,2TEB,NA,2TEB,natother,UM,Biomass_root_total,NAC,1980.01.01,8,NA,9,NA,9,0.61,30,SE,0.12,NA,depth,1,m,NA,NA,NA,NA,NA,NA,0,0,10.2307/2387652,Williams-Linera,1983,"Biomass and Nutrient Content in Two Successional Stages of Tropical Wet Forest in Uxpanapa, Mexico",Anderson et al. 2006,535,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu"
13,Acahual 1,Forest recovery following clear-cut and burn,0.8,2TEB,NA,2TEB,natother,UM,Biomass_total,NAC,1980.01.01,8,NA,9,NA,9,5.3,30,SE,0.82,NA,depth,1,m,root_diameter_min,0,cm,NA,NA,NA,0,0,10.2307/2387652,Williams-Linera,1983,"Biomass and Nutrient Content in Two Successional Stages of Tropical Wet Forest in Uxpanapa, Mexico",Anderson et al. 2006,537,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu"
14,Acahual 1,Forest recovery following clear-cut and burn,0.8,2TEB,NA,2TEB,natother,UM,Biomass_foliage,NAC,1980.01.01,8,NA,9,NA,9,0.71,30,SE,0.14,NA,min_dbh,2.5,cm,NA,NA,NA,NA,NA,NA,0,0,10.2307/2387652,Williams-Linera,1983,"Biomass and Nutrient Content in Two Successional Stages of Tropical Wet Forest in Uxpanapa, Mexico",Anderson et al. 2006,539,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu"
15,Acahual 1,Forest recovery following clear-cut and burn,0.8,2TEB,NA,2TEB,natother,UM,leafN,NAC,1980.01.01,8,NA,9,NA,9,3.9258,30,NAC,NAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,10.2307/2387652,Williams-Linera,1983,"Biomass and Nutrient Content in Two Successional Stages of Tropical Wet Forest in Uxpanapa, Mexico",Anderson et al. 2006,541,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu"
16,Acahual 2,Forest recovery following clear-cut and burn,7,2TEB,NA,2TEB,natother,UM,Biomass_ag,NAC,1980.01.01,8,NA,9,NA,9,43.5,20,SE,6.6,NA,min_dbh,2.5,cm,NA,NA,NA,NA,NA,NA,0,0,10.2307/2387652,Williams-Linera,1983,"Biomass and Nutrient Content in Two Successional Stages of Tropical Wet Forest in Uxpanapa, Mexico",Anderson et al. 2006,534,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu"
17,Acahual 2,Forest recovery following clear-cut and burn,7,2TEB,NA,2TEB,natother,UM,Biomass_root_total,NAC,1980.01.01,8,NA,9,NA,9,9.18,20,SE,1.38,NA,depth,1,m,NA,NA,NA,NA,NA,NA,0,0,10.2307/2387652,Williams-Linera,1983,"Biomass and Nutrient Content in Two Successional Stages of Tropical Wet Forest in Uxpanapa, Mexico",Anderson et al. 2006,536,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu"
18,Acahual 2,Forest recovery following clear-cut and burn,7,2TEB,NA,2TEB,natother,UM,Biomass_total,NAC,1980.01.01,8,NA,9,NA,9,52.68,20,SE,7.98,NA,depth,1,m,root_diameter_min,1,cm,NA,NA,NA,0,0,10.2307/2387652,Williams-Linera,1983,"Biomass and Nutrient Content in Two Successional Stages of Tropical Wet Forest in Uxpanapa, Mexico",Anderson et al. 2006,538,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu"
19,Acahual 2,Forest recovery following clear-cut and burn,7,2TEB,NA,2TEB,natother,UM,Biomass_foliage,NAC,1980.01.01,8,NA,9,NA,9,21.4,20,SE,0.57,NA,min_dbh,2.5,cm,NA,NA,NA,NA,NA,NA,0,0,10.2307/2387652,Williams-Linera,1983,"Biomass and Nutrient Content in Two Successional Stages of Tropical Wet Forest in Uxpanapa, Mexico",Anderson et al. 2006,540,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu"
20,Acahual 2,Forest recovery following clear-cut and burn,7,2TEB,NA,2TEB,natother,UM,leafN,NAC,1980.01.01,8,NA,9,NA,9,3.3646,20,NAC,NAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,10.2307/2387652,Williams-Linera,1983,"Biomass and Nutrient Content in Two Successional Stages of Tropical Wet Forest in Uxpanapa, Mexico",Anderson et al. 2006,542,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu"
21,Agrovila Grande Esperanca.BR-230,secondary forest established in abandoned pasture,2,2TEB,NA,2TEB,nodata,O,Biomass_ag,NAC,NRA,9,NRA,9,NRA,9,34,NRA,NRA,NRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,1,"http://philip.inpa.gov.br/publ_livres/Teses e dissertacoes orientadas/Libera%C3%A7%C3%A3o de Carbono e mudan%C3%A7as... (TESE de Mestrado da Walba M Guimar%C3%A3es, 1993).pdf",Guimaraes,1993,"Liberacao de carbono e mudancas nos estoques dos nutrientes contidos na biomassa aerea e no solo resultante de queimadas de florestas secundarias em areas de pastagens abandonadas, em Altamira, Para",Anderson et al. 2006,90,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu"
22,Agrovila Grande Esperanca.BR-230,secondary forest established in abandoned pasture,2,2TEB,NA,2TEB,nodata,O,Biomass_ag,NAC,NRA,9,NRA,9,NRA,9,14,NRA,NRA,NRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,2,"http://philip.inpa.gov.br/publ_livres/Teses e dissertacoes orientadas/Libera%C3%A7%C3%A3o de Carbono e mudan%C3%A7as... (TESE de Mestrado da Walba M Guimar%C3%A3es, 1993).pdf",Guimaraes,1993,"Liberacao de carbono e mudancas nos estoques dos nutrientes contidos na biomassa aerea e no solo resultante de queimadas de florestas secundarias em areas de pastagens abandonadas, em Altamira, Para",Anderson et al. 2006,91,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu"
