plothistoryID,sites.sitename,plot.name,plotarea,date,daten,dateloc,distcat,disttype,level,units,distnotes,plothistoryID.v1
1,4 Rios,Tropical Wet Forest recovery following pasture abandonment,NAC,NI,NI,NA,Establishment,Establishment of oldest trees,NA,NA,NA,NA
2,Acahual 1,Forest recovery following clear-cut and burn,2,1980.01.01,19800101,8,Disturbance,Burned,NA,NA,NA,6
3,Acahual 1,Forest recovery following clear-cut and burn,2,1980.01.01,19800101,8,Disturbance,Cut,100,%,clear-cut,7
4,Acahual 1,Forest recovery following clear-cut and burn,2,1980.01.01,19800101,8,Regrowth,Initiation of natural succession*,NA,NA,NA,8
5,Acahual 1,Forest recovery following clear-cut and burn,2,1980.01.01,19800101,8,Establishment,Establishment of oldest trees*,NA,NA,NA,9
6,Acahual 2,Forest recovery following clear-cut and burn,2,1972.01.01,19720101,8,Disturbance,Burned,NA,NA,NA,10
7,Acahual 2,Forest recovery following clear-cut and burn,2,1972.01.01,19720101,8,Disturbance,Cut,100,%,clear-cut,11
8,Acahual 2,Forest recovery following clear-cut and burn,2,1973.01.01,19730101,8,Regrowth,Initiation of natural succession*,NA,NA,NA,12
9,Acahual 2,Forest recovery following clear-cut and burn,2,1973.01.01,19730101,8,Establishment,Establishment of oldest trees*,NA,NA,NA,13
10,Agrovila Grande Esperanca.BR-230,secondary forest established in abandoned pasture,NAC,NRA,NRA,9,Disturbance,Grazed,NA,NA,NA,1622
11,Agrovila Grande Esperanca.BR-230,secondary forest established in abandoned pasture,NAC,NRA,NRA,9,Regrowth,Initiation of forest regrowth,NA,NA,NA,1623
12,Agua Pudre plot E AGP-01,UM primary forest,1,NI,NI,9,No.disturbance,No disturbance,NA,NA,Unmanaged primary forest,2268
13,Agua Pudre plot U AGP-02,UM primary forest,1,NI,NI,9,No.disturbance,No disturbance,NA,NA,Unmanaged primary forest,2269
14,Aguas Claras,teak plantation,NAC,1979.01.01,19790101,8.5,Regrowth,Planted,NA,NA,"established in 1978-1979. These are small-scale plantations of about 5 ha each, and have received very little management, with only natural thinning and no undergrowth removal",1897
15,Aguas Claras,teak plantation,NAC,1979.01.01,19790101,8.5,Establishment,Establishment of oldest trees,NA,NA,NA,2231
16,Agumbe,Mature Rain forest,0.44,NAC,NAC,9,No.info,NAC,NA,NA,NA,2061
17,Alava,natural regeneration of abandoned agroforestry secondary forest,NAC,NI,NI,9,Disturbance,Cultivation,NA,NA,"agroforestry (taro, coconut, and/or breadfruit)",1648
18,Alava,natural regeneration of abandoned agroforestry secondary forest,NAC,1950.01.01,19500101,8.5,Regrowth,Initiation of natural succession,NA,NA,Abandoned 30-40 years prior to interview with landowner,1649
19,Alava,natural regeneration of abandoned agroforestry secondary forest,NAC,1990.01.01,19900101,8,Disturbance,Major storm,NA,NA,more affected by hurricane because more exposed,1650
20,Alberga,mature 'old growth' forest,NAC,NAC,NAC,9,No.disturbance,No disturbance,NA,NA,NAC,NA
21,Aleman,Premontane Rain Forest recovery following pasture abandonment,NAC,NI,NI,NA,Establishment,Establishment of oldest trees,NA,NA,NA,NA
22,Allpahuayo A,terra firma ALP-A,NAC,NI,NI,9,No.info,NI,NA,NA,NA,5700
23,Allpahuayo A ALP11/ALP12,wet aseasonal forest,1,NI,NI,9,No.disturbance,No disturbance,NA,NA,NA,2284
