history.ID,sites.sitename,plot.name,plot.area,event.sequence,date,date.loc,hist.cat,hist.type,est.regrowth.assumed.same.year,level,units,percent.mortality,hist.notes,plothistory.ID.v1
1.01,4 Rios,Tropical Wet Forest recovery following pasture abandonment,NAC,1,NI,9,Disturbance,Grazed,NA,NA,NA,100,history event derived from plot.name,NA
1.02,4 Rios,Tropical Wet Forest recovery following pasture abandonment,NAC,2,NI,9,Regrowth,Initiation of post-disturbance cohort (natural),1,NA,NA,NA,history event derived from plot.name,NA
1.03,4 Rios,Tropical Wet Forest recovery following pasture abandonment,NAC,3,NI,9,Establishment,Establishment of oldest trees,1,NA,NA,NA,NA,NA
2.01,Aakre,Forest recovery following agricultural abandonment,NAC,1,NAC,9,Disturbance,Cultivation,NA,NA,NA,100,NA,NA
2.02,Aakre,Forest recovery following agricultural abandonment,NAC,2,1949,8,Regrowth,Initiation of post-disturbance cohort (natural),1,NA,NA,NA,NA,NA
2.03,Aakre,Forest recovery following agricultural abandonment,NAC,3,1949,8,Establishment,Establishment of oldest trees,1,NA,NA,NA,NA,NA
2.04,Aakre,Forest recovery following agricultural abandonment,NAC,4,2008,8,Disturbance,Cut,NA,305,n ha-1,<100%,NA,NA
3.01,Aberfeldy/Griffins,plantation forest,NAC,1,1980,8,Establishment,Establishment of oldest trees,1,NA,NA,NA,plantation forest,NA
3.02,Aberfeldy/Griffins,plantation forest,NAC,2,1980,8,Regrowth,Planted,1,NA,NA,NA,plantation forest,NA
4.01,Acahual 1,Forest recovery following clear-cut and burn,2,1,1980,8,Disturbance,Cut,NA,100,%,100,clear-cut,7
4.02,Acahual 1,Forest recovery following clear-cut and burn,2,2,1980,8,Disturbance,Burned,NA,NA,NA,100,NA,6
4.03,Acahual 1,Forest recovery following clear-cut and burn,2,3,1980,8,Regrowth,Initiation of post-disturbance cohort (natural),1,NA,NA,NA,NA,8
4.04,Acahual 1,Forest recovery following clear-cut and burn,2,4,1980,8,Establishment,Establishment of oldest trees,1,NA,NA,NA,NA,9
5.01,Acahual 2,Forest recovery following clear-cut and burn,2,1,1972,8,Disturbance,Cut,NA,100,%,100,clear-cut,11
5.02,Acahual 2,Forest recovery following clear-cut and burn,2,2,1972,8,Disturbance,Burned,NA,NA,NA,100,NA,10
5.03,Acahual 2,Forest recovery following clear-cut and burn,2,3,1973,8,Regrowth,Initiation of post-disturbance cohort (natural),1,NA,NA,NA,NA,12
5.04,Acahual 2,Forest recovery following clear-cut and burn,2,4,1973,8,Establishment,Establishment of oldest trees,1,NA,NA,NA,NA,13
6.01,Agrovila Grande Esperanca.BR-230,secondary forest established in abandoned pasture,NAC,1,NRA,9,Disturbance,Grazed,NA,NA,NA,100,NA,1622
6.02,Agrovila Grande Esperanca.BR-230,secondary forest established in abandoned pasture,NAC,2,NRA,9,Regrowth,Initiation of post-disturbance cohort (planted or natural),0,NA,NA,NA,NA,1623
7.01,Agua Pudre plot E AGP-01,unmanaged primary forest,1,1,NI,9,No.disturbance,No disturbance,NA,NA,NA,NA,Unmanaged primary forest,2268
8.01,Agua Pudre plot U AGP-02,unmanaged primary forest,1,1,NI,9,No.disturbance,No disturbance,NA,NA,NA,NA,Unmanaged primary forest,2269
