pftcode,description,description.individual,notes
2TEB,"Trees, broadleaf evergreen","Tree, evergreen, broadleaf",NA
2TDB,"Trees, broadleaf, deciduous or with dominant deciduous component ","Tree, deciduous, broadleaf",May be drought or cold deciduous. Includes deciduous and semi-deciduous species. Mixed forest should be counted as deciduous if more than half of canopy trees are deciduous (if specified).
2TEN,"Trees, conifer (needleleaf) evergreen","Tree, evergreen, needleleaf",NA
2TDN,"Trees, conifer (needleleaf), deciduous or with dominant deciduous component.","Tree, deciduous, needleleaf",Includes deciduous and semi-deciduous species. Mixed forest should be counted as deciduous if more than half of canopy trees are deciduous (if specified).
2TD,"Trees, broadleaf and/or conifer, deciduous or with dominant deciduous component.","Tree, deciduous","Includes deciduous and semi-deciduous species. May be drought or cold deciduous. Mixed forest should be counted as deciduous if more than half of canopy trees are deciduous (if specified). Dominant species may be a mix of broadleaf and needleleaf species, or leaf type was not specified."
2TE,"Trees, broadleaf and/or conifer, evergreen","Tree, evergreen","Dominant species may be a mix of broadleaf and needleleaf species, or leaf type was not specified."
2TN,"Trees, conifer (needleleaf)","Tree, needleleaf (coniferous)","Dominant species are a mix of deciduous and evergreen species, or leaf habit not specified."
2TB,"Trees, broadleaf","Tree, broadleaf","Dominant species are a mix of deciduous and evergreen species, or leaf habit not specified."
2TM,"Trees, mixed broadleaf and conifer","Tree, mixed leaf type/phenology",NA
2TREE,Trees,Tree of any leaf type/phenology,"Leaf type/phenology unknown. This code was originally used to refer to the 2TM category, and some records coded as '2TREE' may be identifiable as '2TM' based on information in the original publication."
2SHRUB,Shrubs,Shrub,NA
2VW,"Vinnes, woody","Vine, woody",NA
2GW,"Grasses, woody (bamboo, etc.)","Grass, woody (bamboo, etc.)",NA
2GRAM,Graminoids (grass or grass-like),Graminoid (grass or grass-like),NA
2FORB,"Forbs (herbaceous, not grass nor grass-like)","Forb (herbaceous, not grass nor grass-like)",NA
2LTR,No living vegetation (litter),Litter,NA
2BARE,No living vegetation (bare ground),Bare Ground (exposed soil),NA
2RF,"Rock, fragments ","Rock, fragments",NA
2RB,"Rock, bedrock","Rock, bedrock",NA
