site.ID,sites.sitename,network,alt.names,super.site,city,state,country,lat,lon,masl,geography.notes,mat,min.temp,max.temp,map,climate.notes,soil.texture,sand,silt,clay,soil.classification,soil.notes,hydrology.notes,site.notes,geographic.area,biogeog,Koeppen,FAO.ecozone,site.ID.v1,measurement.refs,site.ref,ref.notes,lacks.info.from.ori.pub,loaded.from,loaded.by,potential_duplicate_group,potential_duplicate_group_parsed,confirmed.unique,potential_duplicate_group_manual,duplicate.notes
1,4 Rios,NA,NA,NA,NAC,Heredia,Costa Rica,10.3888,-84.1327,248,NA,24.2,NAC,NAC,3967,NA,NAC,NAC,NAC,NAC,Inceptisol,NA,NAC,NA,1,North America,Am,Tropical rainforest,1301,Cifuentes-Jara_2008_abae,NA,NA,NA,Bonner_2013_amgc,NA,1,1,1,1,NA
2,Aakre,NA,NA,NA,NAC,Valga,Estonia,58.03,26.016,NAC,NA,5.4,NAC,NAC,675,NA,sandy loam,NAC,NAC,NAC,Haplic Umbrisol,NA,NA,NA,2,Europe,Dfb,Temperate continental forest,NA,Uri_2012_bpac,NA,NA,NA,NA,NA,0,0,NA,0,NA
3,Aberfeldy/Griffins,NA,NA,NA,NAC,Perth and Kinross,United Kingdom,56.6,-3.78,340,NA,7.6,NAC,NAC,1195.25,NA,loam,NAC,NAC,NAC,NAC,NA,NA,NA,3,Europe,Cfb,Boreal coniferous forest,NA,CarboEurope-IP_2006_cd; Valentini_2000_ratm,NA,CD Carbodata,1,Luyssaert_2007_cbob,Maria,0,0,NA,0,NA
4,Acahual 1,NA,NA,NA,Hidalgotitlan,Veracruz,Mexico,17.29,-94.58,150,NA,25.775,NAC,NAC,3640,NA,NAC,NAC,NAC,NAC,Oxisol; Alfisol,"Soils are derived principally from sedimentary rocks of limestone, shale and sandstone, with Oxisols and Alfisols being the most comon soil types encountered.",NAC,NA,4,North America,Aw,Tropical rainforest,336,Williams-Linera_1983_banc,NA,NA,NA,Anderson_2006_toba,NA,0,0,NA,0,NA
5,Acahual 2,NA,NA,NA,Hidalgotitlan,Veracruz,Mexico,17.29,-94.58,150,NA,25.775,NAC,NAC,3640,NA,NAC,NAC,NAC,NAC,Oxisol; Alfisol,"Soils are derived principally from sedimentary rocks of limestone, shale and sandstone, with Oxisols and Alfisols being the most comon soil types encountered.",NAC,NA,4,North America,Aw,Tropical rainforest,337,Williams-Linera_1983_banc,NA,NA,NA,Anderson_2006_toba,NA,0,0,NA,0,NA
6,Agrovila Grande Esperanca.BR-230,NA,NA,NA,Altamira,Para,Brazil,-3.366667,-52.616667,100,NA,23.65,NAC,NAC,1697,NA,NAC,NAC,NAC,NAC,"ultisols, oxisols, and a few spots of alfisols",NA,NAC,NA,5,South America,Am,Tropical rainforest,70,Guimaraes_1993_ldce,NA,NA,NA,Anderson_2006_toba,NA,0,0,NA,0,NA
7,Agua Pudre plot E AGP-01,NA,NA,NA,NAC,Amazonas,Colombia,-3.73,-70.4,105,NA,25.5,NAC,NAC,2723,NA,clay loam,NAC,NAC,NAC,Oxisol,"Endostagnic Plinthosol (Alumic, Hyperdystic)",NAC,NA,6,South America,Af,Tropical rainforest,443,Aragao_2009_aabn; Malhi_2011_taoe,Aragao_2009_aabn; Jimenez_2009_frdf,NA,NA,NA,NA,0,0,NA,0,NA
8,Agua Pudre plot U AGP-02,NA,NA,NA,NAC,Amazonas,Colombia,-3.72,-70.3,110,NA,25.5,NAC,NAC,2723,NA,clay loam,NAC,NAC,NAC,Oxisol,"Endostagnic Plinthosol (Alumic, Hyperdystic)",NAC,NA,6,South America,Af,Tropical rainforest,444,Aragao_2009_aabn; Malhi_2011_taoe,Aragao_2009_aabn; Jimenez_2009_frdf,NA,NA,NA,NA,0,0,NA,0,NA
9,Aguas Claras,NA,NA,NA,NAC,Colon,Panama,9.333333,-79.833333,NAC,in Soberania National Park.,NAC,NAC,NAC,2650,4 month long dry season from Dec-April,slightly clayey loam,NAC,NAC,NAC,NAC,Dark-yellowish-brown surface,NAC,NA,7,North America,Am,Tropical rainforest,281,Kraenzel_2003_csoh,NA,NA,NA,NA,NA,4,1,1,4,NA
10,Agumbe,NA,NA,NA,NAC,Karnataka,India,13.52,75.1,575,NA,22.2,NAC,NAC,7670,high map verified.,NAC,NAC,NAC,NAC,Oxisol,NA,NAC,NA,8,Asia,Aw,Tropical rainforest,329,Clark_2013_ntfc; Olson_2013_nmna; Rai_1986_esof,NA,Rai_1986,NA,NA,NA,0,0,NA,0,NA
11,Aheden,NA,NA,NA,NAC,Vasterbotten,Sweden,64.21,19.5,175,NA,1,NAC,NAC,588,NA,loam,NAC,NAC,NAC,NAC,NA,NA,NA,9,Europe,Dfc,Boreal coniferous forest,NA,Bhupinderpal-Singh_2003_tras; Hahn_2006_catf; Hogberg_2001_lfgs; Luyssaert_2007_cbob; Schulze_2000_tcan,Schulze_2000_tcan,NA,1,Luyssaert_2007_cbob,Maria,0,0,NA,0,NA
12,Aheden 2,NA,NA,NA,NAC,Vasterbotten,Sweden,64.23,19.76,175,NA,1,NAC,NAC,600,NA,loam,NAC,NAC,NAC,NAC,NA,NA,NA,9,Europe,Dfc,Boreal coniferous forest,NA,Hogberg_2001_lfgs; Singh_2003_tras,NA,Bhupinderpal-Singh_2003,1,Luyssaert_2007_cbob,Maria,0,0,NA,0,NA
13,Ailao,NA,NA,NA,NAC,Yunnan,China,24.5333,101.0017,NAC,NA,11.3,NAC,NAC,1840,NA,NAC,NAC,NAC,NAC,NAC,NA,NA,NA,10,Asia,Cwb,Subtropical mountain system,NA,Liu_2002_bana; Tan_2011_aosa,NA,Liu_2014_htpa,NA,Liu_2014_htpa,Maria,5,1,NA,5,NA
14,Akou,NA,NA,NA,Akou,Hyogo,Japan,34.7349444,134.3743056,10,NA,15.43,NAC,NAC,962,NA,NAC,NAC,NAC,NAC,NAC,NA,NA,NA,11,Asia,Cfa,Subtropical humid forest,NA,Kosugi_2005_tyoc,NA,NA,NA,Yu_2014_hcdu,Maria,0,0,NA,0,NA
15,Alaska,NA,NA,NA,NAC,Alaska,United States of America,64.75,-148.25,NAC,NA,-3.5,NAC,NAC,269,NA,NAC,NAC,NAC,NAC,NAC,NA,NA,NA,12,North America,Dfc,Boreal tundra woodland,NA,Oechel_1986_trob,NA,Keith_2009_rofb; Liu_2014_htpa,NA,Keith_2009_rofb; Liu_2014_htpa,Maria,0,0,NA,0,NA
