"","site.ID","sites.sitename","network","alt.names","super.site","city","state","country","lat","lon","coordinates.precision","masl","geography.notes","mat","min.temp","max.temp","map","climate.notes","soil.texture","sand","silt","clay","soil.classification","soil.notes","hydrology.notes","site.notes","geographic.area","continent","biogeog","Koeppen","FAO.ecozone","site.ID.v1","measurement.refs","site.ref","ref.notes","lacks.info.from.ori.pub","loaded.from","loaded.by","potential_duplicate_group","potential_duplicate_group_parsed","confirmed.unique","potential_duplicate_group_manual","duplicate.notes","optional","WC_MAT","WC_MAP","WC_warmest","WC_coldest","climate.data.suspect"
"1",1,"4 Rios",NA,NA,NA,"NAC","Heredia","Costa Rica",10.3888,-84.1327,"decimal degrees to 4 digits","248",NA,24.2,NA,NA,3967,NA,"NAC","NAC","NAC","NAC","Inceptisol",NA,"NAC",NA,1,"North America","Neotropics","Am","Tropical rainforest","1301","Cifuentes-Jara_2008_abae",NA,NA,NA,"Bonner_2013_amgc",NA,1,"1","1","1",NA,TRUE,25.283332824707,3752,26.7000007629395,24.2999992370605,NA
"2",2,"Aakre",NA,NA,NA,"NAC","Valga","Estonia",58.03,26.016,"NAC","NAC",NA,5.4,NA,NA,675,NA,"sandy loam","NAC","NAC","NAC","Haplic Umbrisol",NA,NA,NA,2,"Europe","Palearctic","Dfb","Temperate continental forest",NA,"Uri_2012_bpac",NA,NA,NA,NA,NA,0,"0",NA,"0",NA,TRUE,5.38333368301392,659,16.8999996185303,-5.59999990463257,NA
"3",3,"Aberfeldy/Griffins",NA,NA,NA,"NAC","Perth and Kinross","United Kingdom",56.6,-3.78,"NAC","340",NA,7.6,NA,NA,1195.25,NA,"loam","NAC","NAC","NAC","NAC",NA,NA,NA,3,"Europe","Palearctic","Cfb","Boreal coniferous forest",NA,"CarboEurope-IP_2006_cd; Valentini_2000_ratm",NA,"CD Carbodata",1,"Luyssaert_2007_cbob","Maria",0,"0",NA,"0",NA,TRUE,6.23333311080933,1368,12.5,1.29999995231628,NA
"4",4,"Acahual 1",NA,NA,NA,"Hidalgotitlan","Veracruz","Mexico",17.29,-94.58,"NAC","150",NA,25.775,NA,NA,3640,NA,"NAC","NAC","NAC","NAC","Oxisol; Alfisol","Soils are derived principally from sedimentary rocks of limestone, shale and sandstone, with Oxisols and Alfisols being the most comon soil types encountered.","NAC",NA,4,"North America","Neotropics","Aw","Tropical rainforest","336","Williams-Linera_1983_banc",NA,NA,NA,"Anderson_2006_toba",NA,0,"0",NA,"0",NA,TRUE,25.154167175293,3601,28.3999996185303,21.2999992370605,NA
"5",5,"Acahual 2",NA,NA,NA,"Hidalgotitlan","Veracruz","Mexico",17.29,-94.58,"NAC","150",NA,25.775,NA,NA,3640,NA,"NAC","NAC","NAC","NAC","Oxisol; Alfisol","Soils are derived principally from sedimentary rocks of limestone, shale and sandstone, with Oxisols and Alfisols being the most comon soil types encountered.","NAC",NA,4,"North America","Neotropics","Aw","Tropical rainforest","337","Williams-Linera_1983_banc",NA,NA,NA,"Anderson_2006_toba",NA,0,"0",NA,"0",NA,TRUE,25.154167175293,3601,28.3999996185303,21.2999992370605,NA
"6",6,"Agrovila Grande Esperanca.BR-230",NA,NA,NA,"Altamira","Para","Brazil",-3.366667,-52.616667,"NAC","100",NA,23.65,NA,NA,1697,NA,"NAC","NAC","NAC","NAC","ultisols, oxisols, and a few spots of alfisols",NA,"NAC",NA,5,"South America","Neotropics","Am","Tropical rainforest","70","Guimaraes_1993_ldce",NA,NA,NA,"Anderson_2006_toba",NA,0,"0",NA,"0",NA,TRUE,25.5874996185303,1863,26.5,24.8999996185303,NA
"7",7,"Agua Pudre plot E AGP-01",NA,NA,NA,"NAC","Amazonas","Colombia",-3.73,-70.4,"NAC","105",NA,25.5,NA,NA,2723,NA,"clay loam","NAC","NAC","NAC","Oxisol","Endostagnic Plinthosol (Alumic, Hyperdystic)","NAC",NA,6,"South America","Neotropics","Af","Tropical rainforest","443","Aragao_2009_aabn; Malhi_2011_taoe","Aragao_2009_aabn; Jimenez_2009_frdf",NA,NA,NA,NA,0,"0",NA,"0",NA,TRUE,26.533332824707,2963,27.1000003814697,25.7999992370605,NA
"8",8,"Agua Pudre plot U AGP-02",NA,NA,NA,"NAC","Amazonas","Colombia",-3.72,-70.3,"NAC","110",NA,25.5,NA,NA,2723,NA,"clay loam","NAC","NAC","NAC","Oxisol","Endostagnic Plinthosol (Alumic, Hyperdystic)","NAC",NA,6,"South America","Neotropics","Af","Tropical rainforest","444","Aragao_2009_aabn; Malhi_2011_taoe","Aragao_2009_aabn; Jimenez_2009_frdf",NA,NA,NA,NA,0,"0",NA,"0",NA,TRUE,26.6041660308838,2953,27.2000007629395,25.8999996185303,NA
"9",9,"Aguas Claras",NA,NA,NA,"NAC","Colon","Panama",9.333333,-79.833333,"NAC","NAC","in Soberania National Park.",NA,NA,NA,2650,"4 month long dry season from Dec-April","slightly clayey loam","NAC","NAC","NAC","NAC","Dark-yellowish-brown surface","NAC",NA,7,"North America","Neotropics","Am","Tropical rainforest","281","Kraenzel_2003_csoh",NA,NA,NA,NA,NA,4,"1","1","4",NA,TRUE,26.7041664123535,2223,27.7999992370605,25.8999996185303,NA
"10",10,"Agumbe",NA,NA,NA,"NAC","Karnataka","India",13.52,75.1,"NAC","575",NA,22.2,NA,NA,7670,"high map verified.","NAC","NAC","NAC","NAC","Oxisol",NA,"NAC",NA,8,"Asia","IndoMalay","Aw","Tropical rainforest","329","Clark_2013_ntfc; Olson_2013_nmna; Rai_1986_esof",NA,"Rai_1986",NA,NA,NA,0,"0",NA,"0",NA,TRUE,23.408332824707,6536,26.1000003814697,22,NA
"11",11,"Aheden",NA,NA,NA,"NAC","Vasterbotten","Sweden",64.21,19.5,"NAC","175",NA,1,NA,NA,588,NA,"loam","NAC","NAC","NAC","NAC",NA,NA,NA,9,"Europe","Palearctic","Dfc","Boreal coniferous forest",NA,"Bhupinderpal-Singh_2003_tras; Hahn_2006_catf; Hogberg_2001_lfgs; Luyssaert_2007_cbob; Schulze_2000_tcan","Schulze_2000_tcan",NA,1,"Luyssaert_2007_cbob","Maria",0,"0",NA,"0",NA,TRUE,1.97916674613953,579,15,-10,NA
