current.priority,citation.ID,citation.doi,citation.author,citation.year,citation.title,variables,disturbance.types,geographic.scope,n.sites,n.plots,n.records,notes,status,GitHub.issue,date.finished
1,Bond-Lamberty_2010_agdo,10.5194/bg-7-1915-2010,Bond-Lamberty,2010,A global database of soil respiration data ,many (moistly Rsoil),any,global,,,,,3-in progress/ partially entered,https://github.com/forc-db/ForC/issues/78,
1,NA,NA,Cook-Patton,in prep,GROA,biomass,regrowth,global,,,,,3-in progress/ partially entered,https://github.com/forc-db/ForC/issues/98,
1,Taylor_2017_tari,10.1111/ele.12765,Taylor,2017,Temperature and rainfall interact to control carbon cycling in tropical forests,ANPP,(mature),pan-tropical,150,,,,2-pending,https://github.com/forc-db/ForC/issues/64,
1,DeAngelis_1981_pofe,NA,DeAngelis,1981,Productivity of forest ecosystems studied during the IBP: the woodlands data set,"NPP (multiple components), biomass (multiple components), biomass incremenets (multiple components) ",multiple,global,,,,"a lot of the data loaded through Anderson_2006_toba; Luyssaert_2007_cbob, but there is more, and it could be good to check what's in the database against original records.  Data have been digitized",3-in progress/ partially entered,,
1,Gower_2001_nppa,10.2307/3060928,Gower,2001,Net primary production and carbon allocation patterns of boreal forest ecosystems,"NPP (ANPP, BNPP- multiple components), AGB",multiple (known) ages,pan-boreal,9,24,,"Maria Wang notes that this is partly already in the database, but a fresh data entry  would be good ",3-in progress/ partially entered,,
1,NA,NA,NA,NA,[FLUXNET- most recent,"NEE,GPP, Reco",multiple,global,,,,"a lot of data already in database, but it would be good to standardize against official site names and most recent data",3-in progress/ partially entered,,
1,NA,NA,NA,NA,ORNL_DAAC_NPP,multiple,any,global,~100,,,"high quality data set. Some of these data already in ForC, but in some cases the quality could be improved",3-in progress/ partially entered,https://github.com/forc-db/ForC/issues/63,
1,Palace_2012_aroa,NA,Palace,2012,A review of above ground necromass in tropical forests,"deadwood, deadwood_down, deadwood_standing, AGB, ",any,(sub)tropical global,~50-100?,,,"many of these sites already included in ForC, some in GROA. Check for novel data.",2-pending,,
2,Muller-Landau_2014_dapc,NA,Muller-Landau,2014,Detecting and projecting changes in forest biomass from plot data,delta.agb,mature,pan-tropical,,,,"ForestGEO, RAINFOR, AFRITRON",2-pending,https://github.com/forc-db/ForC/issues/79,
2,Poorter_2016_bron,10.1038/nature16512,Poorter,2016,Biomass resilience of Neotropical secondary forests,biomass,regrowth,Neotropics,41,~1500,,stands <100yrs already in Cook-Patton,1-requires assessment,https://github.com/forc-db/ForC/issues/91,
2,Smithwick_2002_pubo,10.1890/1051-0761(2002)012[1303:PUBOCS]2.0.CO;2,Smithwick,2002,Potential upper bounds of carbon stores in forests of the Pacific Northwest,"C stocks (all major components, well-parsed)",old growth,"OR, WA",43,,,"AGB already in database, but site cleanup and additional data would be valuable",3-in progress/ partially entered,,
2,Yu_2014_hcdu,10.1073/pnas.1317065111,Yu,2014,High carbon dioxide uptake by subtropical forest ecosystems in the East Asian monsoon region,"NEE,GPP, Reco",any,global,,,,"May have some novel data for extratropical sites-- requires assessment. FLUXNET update is higher priority.  Maria Wang visited original studies to obtain some relevant info. For extratropics, note from Maria Wang: visit original studies; still a lot and a bit messy; a lot of sites already in db.",3-in progress/ partially entered,,
3,Rutishauser_2015_rtcs,10.1016/j.cub.2015.07.034,Rutishauser,2015,Rapid tree carbon stock recovery in managed Amazonian forests,biomass,partial logging,Amazon,10,,,,1-requires assessment,NA,
3,Meigs_2009_ffio,,Meigs,2009,"Forest fire impacts on carbon uptake, storage, and emission: the role of burn severity in the Eastern Cascades, Oregon","NPP (multiple components), biomass (multiple components),biomass incremenets (multiple components) ",fire,"OR, USA (Metolius watershed)",64,,,data availability not immediately clear,1-requires assessment,,
3,Dore_2012_ropp,10.1111/j.1365-2486.2012.02775.x,Dore,2012,Recovery of ponderosa pine ecosystem carbon and water fluxes from thinning and stand-replacing fire,"NEE,GPP, Reco","fire, thinning, (control)","AZ, USA",3,,,forest has yet to recover following fire,1-requires assessment,,
3,Grunzweig_2015_scic,_10.1007/s10021-014-9817-x,Grunzweig,2015,Successional Changes in Carbon Stocks After Logging and Deforestation for Agriculture in Interior Alaska: Implications for Boreal Climate Feedbacks,"C stocks (AGB, soil, total ecosystem)",logging chronosequence,"AK, USA",10,10,,potentially in GROA,1-requires assessment,,
3,Bonner_2013_amgc,10.1016/j.foreco.2012.11.024,Bonner,2013,A meta-analytical global comparison of aboveground biomass accumulation between tropical secondary forests and monoculture plantations,,various (regrowth stands),global,,,,Meta-analysis of AGB accumulation from tropical secondary forests and monoculture plantations. Original studies were visited to obtain biomass and other relevant data. Secondary forests are done; plantations are in progress. ,3-in progress/ partially entered,,
3,,,Cebrian,1999,Patterns in the Fate of Production in Plant Communities,"quite a few: NPP, herbivory, others",any,global (terrestrial & aquatic ecosytsems),,,,"includes aquatic and terrestrial ecosystems, lots of data on herbivore consumption",1-requires assessment,,
NA,Chave_2008_aefa,10.1371/journal.pbio.0060045,Chave,2008,Assessing Evidence for a Pervasive Alteration in Tropical Tree Communities,delta.agb,mature,pan-tropical,,,,included in Muller-Landau_2014_dapc. Consult Krista about any sites that are not yet in the database.,4-done,https://github.com/forc-db/ForC/issues/79,
NA,Lutz_2018_giol,10.1111/geb.12747,Lutz,2018,Global importance of large-diameter trees ,biomass,mature,global,,,,ForestGEO,4-done,,2018-09
NA,Johnson_2018_csss,10.1038/s41559-018-0626-z,Johnson,2018,Climate sensitive size-dependent survival in tropical trees,woody mortality,mature,global,,,,ForestGEO,4-done,,2018-09
NA,Anderson_2006_toba,10.1111/j.1461-0248.2006.00914.x,Anderson,2006,Temperature-dependence of biomass accumulation rates during secondary succession,biomass,regrowth,global,,,,"Includes biomass data from (Johnson et al., 2000) and (Zarin et al., 2001). Revisited original studies to obtain other relevant variables.",4-done,,pre-2016
NA,,10.1098/rspb.2014.0303 ,Martin,2013,Carbon pools recover more quickly than plant biodiversity in tropical secondary forests,biomass,regrowth,global (mainly W hemisphere),,,,"Meta-analysis of biomass data in tropical secondary forests, mainly in the western hemisphere. Obtained all studies therein",4-done,,pre-2016
NA,Lin_2012_tvia,10.1371/journal.pone.0048244,Lin,2012,Topographic Variation in Aboveground Biomass in a Subtropical Evergreen Broad-Leaved Forest in China,biomass,regrowth,mainly China,,,,"Compilation of biomass studies, mainly in China. Original studies were visited to obtain other relevant variables.",4-done,,pre-2016
NA,Liu_2014_htpa,10.1111/geb.12113,Liu,2014,"How temperature, precipitation and stand age control the biomass carbon density of global mature forests","biomass (AGB, root, total)",,global,,,,"Biomass data comprising some compilations of data from global mature forests. Some original studies were visited to check data accuracy and data was obtained directly from those. Data was obtained directly from these compilations in Liu: Keith et al. 2009, Baker et al. 2004, Ma et al. 2012",4-done,,pre-2016
NA,NA,NA,IPCC,2006,2006 IPCC Guidelines for National Greenhouse Gas Inventories,biomass,multiple,global,,,,Compilation of literature used for regional biomass estimates. Original studies were visited to obtain relevant variables for the tropics; some extratropical studies not finished.,4-done,,pre-2016
