"measurement.ID","sites.sitename","plot.name","stand.age","dominant.life.form","dominant.veg","scientific.name","veg.notes","variable.name","date","date.loc","start.date","start.date.loc","end.date","end.date.loc","mean","n","stat.name","stat","area.sampled","notes","method.ID","allometry_1","allometry_2","min.dbh","depth","covariate_1","coV_1.value","covariate_2","coV_2.value","conflicts","R.group","S.group","D.group","D.precedence","conflict.type","D.precedence.measurement.ID","conflicts.notes","citation.ID","loaded.from","source.notes","measurement.ID.v1","loaded.by","checked.ori.pub","ForC.investigator","required.citations","flag.suspicious"
17369,"Amacayacu CTFS-ForestGEO plot","25-ha forest dynamics plot","999","woody","2TEB",NA,NA,"stand.density","2007",8.5,"2007",8,"2011",8,4948,"25","SD","518","25","mean and standard deviation (SD) given for each 100 m _ 100 m of each plot",NA,NA,NA,"1",NA,"stem.level","1",NA,NA,"I",NA,NA,NA,NA,NA,NA,NA,"Lutz_2018_giol",NA,NA,NA,"Kristina J. Anderson-Teixeira",1,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Anderson-Teixeira_2018_fagd",0
17371,"Barro Colorado Island CTFS-ForestGEO plot","50-ha forest dynamics plot","999","woody","2TB",NA,NA,"stand.density","2010",8.5,"2010",8,"2011",8,4938,"50","SD","463","50","mean and standard deviation (SD) given for each 100 m _ 100 m of each plot",NA,NA,NA,"1",NA,"stem.level","1",NA,NA,"I",NA,NA,NA,NA,NA,NA,NA,"Lutz_2018_giol",NA,NA,NA,"Kristina J. Anderson-Teixeira",1,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Anderson-Teixeira_2018_fagd",0
17373,"Bukit Timah Primary CTFS-ForestGEO plot","2-ha forest dynamics plot","999","woody","2TEB",NA,"mixed dipterocarp/ coastal hill dipterocarp","stand.density","2012",8,"2012",8,"2012",8,6273,"2","SD","180","2","mean and standard deviation (SD) given for each 100 m _ 100 m of each plot",NA,NA,NA,"1",NA,"stem.level","1",NA,NA,"I",NA,NA,NA,NA,NA,NA,NA,"Lutz_2018_giol",NA,NA,NA,"Kristina J. Anderson-Teixeira",1,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Anderson-Teixeira_2018_fagd",0
17375,"Cedar Breaks CTFS-ForestGEO plot","13.64-ha forest dynamics plot","NAC","woody","2TEN",NA,"high elevation mixed-conifer forest","stand.density","2015",8,"2015",8,"2015",8,1542,"12","SD","961","13.64","mean and standard deviation (SD) given for each 100 m _ 100 m of each plot",NA,NA,NA,"1",NA,"stem.level","1",NA,NA,"I",NA,NA,NA,NA,NA,NA,NA,"Lutz_2018_giol",NA,NA,NA,"Kristina J. Anderson-Teixeira",1,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Anderson-Teixeira_2018_fagd",0
17377,"Changbaishan CTFS-ForestGEO plot","25-ha forest dynamics plot","999","woody","2TM",NA,"mixed broad-leaf Korean pine forest; Floristic characteristics of the community belong to Changbaishan flora, including some Tertiary relic species and subtropical species.","stand.density","NI",9,NA,NA,NA,NA,1230,"25","SD","188","25","mean and standard deviation (SD) given for each 100 m _ 100 m of each plot",NA,NA,NA,"1",NA,"stem.level","1",NA,NA,"I",NA,NA,NA,NA,NA,NA,NA,"Lutz_2018_giol",NA,NA,NA,"Kristina J. Anderson-Teixeira",1,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Anderson-Teixeira_2018_fagd",0
17379,"Cocoli CTFS-ForestGEO plot","4-ha forest dynamics plot","104","woody","2TB",NA,NA,"stand.density","1998",9,"1994",8,"1998",8,2164,"4","SD","248","4","mean and standard deviation (SD) given for each 100 m _ 100 m of each plot",NA,NA,NA,"1",NA,"stem.level","1",NA,NA,"I",NA,NA,NA,NA,NA,NA,NA,"Lutz_2018_giol",NA,NA,NA,"Kristina J. Anderson-Teixeira",1,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Anderson-Teixeira_2018_fagd",0
17381,"Danum Valley CTFS-ForestGEO plot","25-ha of 50-ha forest dynamics plot","NAC","woody","2TEB",NA,"mixed dipterocarp","stand.density","2011",8,"2011",8,"2011",8,7573,"25","SD","526","25","mean and standard deviation (SD) given for each 100 m _ 100 m of each plot",NA,NA,NA,"1",NA,"stem.level","1",NA,NA,"I",NA,NA,NA,NA,NA,NA,NA,"Lutz_2018_giol",NA,NA,NA,"Kristina J. Anderson-Teixeira",1,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Anderson-Teixeira_2018_fagd",0
17383,"Fushan CTFS-ForestGEO plot","25-ha forest dynamics plot","999","woody","2TEB",NA,"Dominated by Lauraceae and Fagaceae.","stand.density","2008",8.5,"2008",8,"2009",8,4478,"25","SD","1139","25","mean and standard deviation (SD) given for each 100 m _ 100 m of each plot",NA,NA,NA,"1",NA,"stem.level","1",NA,NA,"I",NA,NA,NA,NA,NA,NA,NA,"Lutz_2018_giol",NA,NA,NA,"Kristina J. Anderson-Teixeira",1,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Anderson-Teixeira_2018_fagd",0
17385,"Gutianshan CTFS-ForestGEO plot","24-ha forest dynamics plot","NAC","woody","2TB",NA,NA,"stand.density","NI",9,NA,NA,NA,NA,5833,"24","SD","1580","24","mean and standard deviation (SD) given for each 100 m _ 100 m of each plot",NA,NA,NA,"1",NA,"stem.level","1",NA,NA,"I",NA,NA,NA,NA,NA,NA,NA,"Lutz_2018_giol",NA,NA,NA,"Kristina J. Anderson-Teixeira",1,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Anderson-Teixeira_2018_fagd",0
17387,"Harvard Forest CTFS-ForestGEO plot","35-ha forest dynamics plot","NAC","woody","2TDB",NA,"eastern hemlock and northern hardwood species","stand.density","2013",8.5,"2013",8,"2014",8,3104,"35","SD","2600","35","mean and standard deviation (SD) given for each 100 m _ 100 m of each plot",NA,NA,NA,"1",NA,"stem.level","1",NA,NA,"I",NA,NA,NA,NA,NA,NA,NA,"Lutz_2018_giol",NA,NA,NA,"Kristina J. Anderson-Teixeira",1,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Anderson-Teixeira_2018_fagd",0
17389,"Heishiding CTFS-ForestGEO plot","50-ha forest dynamics plot","NAC","woody","2TEB",NA,"Oak-laurel rain forest; The five most abundant species in the plot are Cryptocarya concinna,Neolitsea phanerophlebia, Litsea acuminate, Itea chinensis and Xanthophyllum hainanense.","stand.density",NA,NA,"2011",8,"2013",8,5277,"50","SD","706","50","mean and standard deviation (SD) given for each 100 m _ 100 m of each plot",NA,NA,NA,"1",NA,"stem.level","1",NA,NA,"I",NA,NA,NA,NA,NA,NA,NA,"Lutz_2018_giol",NA,NA,NA,"Kristina J. Anderson-Teixeira",1,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Anderson-Teixeira_2018_fagd",0
