"ForC_measurement.ID","SRDB_ForC_measurement.ID"
89,23230
5189,23230
5194,23230
260,27860
285,27860
260,27872
285,27872
262,27854
287,27854
262,27866
287,27866
344,21619
368,21619
392,21619
416,21619
440,21619
464,21619
488,21619
512,21619
536,21619
560,21619
584,21619
608,21619
625,21619
344,21623
368,21623
392,21623
416,21623
440,21623
464,21623
488,21623
512,21623
536,21623
560,21623
584,21623
608,21623
625,21623
344,21627
368,21627
392,21627
416,21627
440,21627
464,21627
488,21627
512,21627
536,21627
560,21627
584,21627
608,21627
625,21627
344,21631
368,21631
392,21631
416,21631
440,21631
464,21631
488,21631
512,21631
536,21631
560,21631
584,21631
608,21631
625,21631
348,21558
372,21558
396,21558
420,21558
444,21558
468,21558
492,21558
516,21558
540,21558
564,21558
588,21558
612,21558
622,21558
348,21564
372,21564
396,21564
420,21564
444,21564
468,21564
492,21564
516,21564
540,21564
564,21564
588,21564
612,21564
622,21564
348,21569
372,21569
396,21569
420,21569
444,21569
468,21569
492,21569
516,21569
540,21569
564,21569
588,21569
612,21569
622,21569
348,28581
372,28581
396,28581
420,28581
444,28581
468,28581
492,28581
516,28581
540,28581
564,28581
588,28581
612,28581
622,28581
348,28582
372,28582
396,28582
420,28582
444,28582
468,28582
492,28582
516,28582
540,28582
564,28582
588,28582
612,28582
622,28582
348,28583
372,28583
396,28583
420,28583
444,28583
468,28583
492,28583
516,28583
540,28583
564,28583
588,28583
612,28583
622,28583
348,28588
372,28588
396,28588
420,28588
444,28588
468,28588
492,28588
516,28588
540,28588
564,28588
588,28588
612,28588
622,28588
348,28589
372,28589
396,28589
420,28589
444,28589
468,28589
492,28589
516,28589
540,28589
564,28589
588,28589
612,28589
622,28589
348,28590
372,28590
396,28590
420,28590
444,28590
468,28590
492,28590
516,28590
540,28590
564,28590
588,28590
612,28590
622,28590
348,28591
372,28591
396,28591
420,28591
444,28591
468,28591
492,28591
516,28591
540,28591
564,28591
588,28591
612,28591
622,28591
348,29739
372,29739
396,29739
420,29739
444,29739
468,29739
492,29739
516,29739
540,29739
564,29739
588,29739
612,29739
622,29739
349,21561
373,21561
397,21561
421,21561
445,21561
469,21561
493,21561
517,21561
541,21561
565,21561
589,21561
613,21561
623,21561
349,21567
373,21567
397,21567
421,21567
445,21567
469,21567
493,21567
517,21567
541,21567
565,21567
589,21567
613,21567
623,21567
349,21572
373,21572
397,21572
421,21572
445,21572
469,21572
493,21572
517,21572
541,21572
565,21572
589,21572
613,21572
623,21572
354,21621
378,21621
402,21621
426,21621
450,21621
474,21621
498,21621
522,21621
546,21621
570,21621
594,21621
618,21621
354,21625
378,21625
402,21625
426,21625
450,21625
474,21625
498,21625
522,21625
546,21625
570,21625
594,21625
618,21625
354,21629
378,21629
402,21629
426,21629
450,21629
474,21629
498,21629
522,21629
546,21629
570,21629
594,21629
618,21629
354,21633
378,21633
402,21633
426,21633
450,21633
474,21633
498,21633
522,21633
546,21633
570,21633
594,21633
618,21633
357,21620
380,21620
404,21620
428,21620
452,21620
476,21620
500,21620
524,21620
548,21620
572,21620
596,21620
620,21620
628,21620
357,21624
380,21624
404,21624
428,21624
452,21624
476,21624
500,21624
524,21624
548,21624
572,21624
596,21624
620,21624
628,21624
357,21628
380,21628
404,21628
428,21628
452,21628
476,21628
500,21628
524,21628
548,21628
572,21628
596,21628
620,21628
628,21628
357,21632
380,21632
404,21632
428,21632
452,21632
476,21632
500,21632
524,21632
548,21632
572,21632
596,21632
620,21632
628,21632
667,22919
673,22919
679,22919
755,22919
798,22919
804,22919
810,22919
886,22919
667,22921
673,22921
679,22921
755,22921
798,22921
804,22921
810,22921
886,22921
667,22945
673,22945
679,22945
755,22945
798,22945
804,22945
810,22945
886,22945
667,22946
673,22946
679,22946
755,22946
798,22946
804,22946
810,22946
886,22946
667,22947
673,22947
679,22947
755,22947
798,22947
804,22947
810,22947
886,22947
667,22948
673,22948
679,22948
755,22948
798,22948
804,22948
810,22948
886,22948
680,29080
681,29080
682,29080
683,29080
756,29080
757,29080
758,29080
759,29080
811,29080
812,29080
813,29080
814,29080
887,29080
888,29080
889,29080
890,29080
680,29081
681,29081
682,29081
683,29081
756,29081
757,29081
758,29081
759,29081
811,29081
812,29081
813,29081
814,29081
887,29081
888,29081
889,29081
890,29081
977,22365
981,22365
4195,22365
13508,22365
13511,22365
13518,22365
13520,22365
13528,22365
13529,22365
977,22370
981,22370
4195,22370
13508,22370
13511,22370
13518,22370
13520,22370
13528,22370
13529,22370
977,22375
981,22375
4195,22375
13508,22375
13511,22375
13518,22375
13520,22375
13528,22375
13529,22375
977,22380
981,22380
4195,22380
13508,22380
13511,22380
13518,22380
13520,22380
13528,22380
13529,22380
1049,21012
1049,28499
1049,28500
1050,21014
1148,26188
1148,26194
1148,26200
1148,26206
1148,26617
1148,26619
1148,27232
1148,27235
1248,27944
1248,27953
1319,20993
1320,20993
3779,20993
5477,20993
1319,28495
1320,28495
3779,28495
5477,28495
1319,29681
1320,29681
3779,29681
5477,29681
1319,29682
1320,29682
3779,29682
5477,29682
1319,29683
1320,29683
3779,29683
5477,29683
1319,29684
1320,29684
3779,29684
5477,29684
1319,29685
1320,29685
3779,29685
5477,29685
1319,29686
1320,29686
3779,29686
5477,29686
1319,30205
1320,30205
3779,30205
5477,30205
1319,30206
1320,30206
3779,30206
5477,30206
1319,30207
1320,30207
3779,30207
5477,30207
1319,30208
1320,30208
3779,30208
5477,30208
1321,20996
1322,20996
3780,20996
5478,20996
1564,21874
1564,21876
1591,21310
1616,21310
1641,21310
1592,21309
1617,21309
1642,21309
1593,21914
1618,21914
1643,21914
9687,21914
1593,21918
1618,21918
1643,21918
9687,21918
1596,21915
1621,21915
1646,21915
1596,21919
1621,21919
1646,21919
1597,21316
1622,21316
1647,21316
1597,21916
1622,21916
1647,21916
1597,21920
1622,21920
1647,21920
1598,21315
1623,21315
