new.sitename,new.plotname,old.sitename,old.plotname,date.added.here,notes,,,,
Tumbarumba flux station (AU-Tum),mature managed forest,Tumbarumba flux station,mature managed forest,9/21/18,add fluxnet code,,,,
Tumbarumba flux station (AU-Tum),mature managed forest,Tumbara,NAC,9/21/18,merge with duplicate site ,,,,
Luquillo CTFS-ForestGEO plot,16-ha forest dynamics plot,Luquillo Forest Dynamics plot,mature 'old growth' forest,9/22/18,merge with duplicate site ,,,,
Luquillo Experimental Forest: Bisley watersheds 1 and 2 ,Secondary tabonuco forest,Bisley,Secondary tabonuco forest,9/22/18,clarify name,,,,
Brindabella Range Eucalyptus pauciflora forest,Temperate Evergreen Forest. Stand established around 1939,Brindabella,Temperate Evergreen Forest. Stand established around 1939,7/1/19,merge with duplicate site ,,,,
Brindabella Range Eucalyptus pauciflora forest,Temperate Evergreen Forest with Fertilized (500 kgP/ha) treatment. Stand established around 1939,Brindabella,Temperate Evergreen Forest with Fertilized (500 kgP/ha) treatment. Stand established around 1939,7/1/19,merge with duplicate site ,,,,
Brindabella Range Eucalyptus pauciflora forest,Temperate Evergreen Forest. Stand established around 1939,Brindabella Range Eucalyptus pauciflora forest,Managed 54 yr C,7/1/19,merge with duplicate site ,,,,
Brindabella Range Eucalyptus pauciflora forest,Temperate Evergreen Forest with Fertilized (500 kgP/ha) treatment. Stand established around 1939,Brindabella Range Eucalyptus pauciflora forest,Managed 54 yr P fertilized,7/1/19,merge with duplicate site ,,,,
Morgan Monroe State Forest (MMSF),Managed Temperate Deciduous Forest. Stand established around 1918,Morgan Monroe State Forest (MMSF),Managed,7/1/19,merge with duplicate site ,,,,
Morgan Monroe State Forest (MMSF),Managed Temperate Deciduous Forest. Stand established around 1918,Morgan Monroe State Forest,Temperate Deciduous Forest. Stand established around 1915,7/1/19,merge with duplicate site ,,,,
Blandy Experimental Farm,(any),Blady Experimental Farm,(any),7/1/19,fix typo in site name,,,,
Metolius Young Pine Burn (US-Me6),Aggrading Temperate Evergreen Forest. Stand established 1990,Metolius young II,US-Me6,7/2/19,merge duplicate sites,,,,
Metolius Young Pine Burn (US-Me6),Aggrading Temperate Evergreen Forest. Stand established 1990,US-Me6,Aggrading Temperate Evergreen Forest. Stand established around 1980,7/2/19,merge duplicate sites,,,,
Laegern (CH-Lae),CH-Lae,Laegern ,CH-Lae,7/2/19,merge duplicate sites,,,,
Laegern (CH-Lae),Lageren,Lageren,Temperate Deciduous Forest,7/2/19,merge duplicate sites,,,,
Laegern (CH-Lae),Lageren-1,Lageren-1,Temperate Deciduous Forest,7/2/19,merge duplicate sites,,,,
Laegern (CH-Lae),Lageren-2,Lageren-2,Temperate Deciduous Forest,7/2/19,merge duplicate sites,,,,
Laegern (CH-Lae),Lageren-3,Lageren-3,Temperate Deciduous Forest,7/2/19,merge duplicate sites,,,,
Laegern (CH-Lae),Lageren-4,Lageren-4,Temperate Deciduous Forest,7/2/19,merge duplicate sites,,,,
Laegern (CH-Lae),Lageren-5,Lageren-5,Temperate Deciduous Forest,7/2/19,merge duplicate sites,,,,
Laegern (CH-Lae),Lageren-6,Lageren-6,Temperate Deciduous Forest,7/2/19,merge duplicate sites,,,,
Laegern (CH-Lae),Lageren-7,Lageren-7,Temperate Deciduous Forest,7/2/19,merge duplicate sites,,,,
Laegern (CH-Lae),Lageren-8,Lageren-8,Temperate Deciduous Forest,7/2/19,merge duplicate sites,,,,
Laegern (CH-Lae),Lageren-9,Lageren-9,Temperate Deciduous Forest,7/2/19,merge duplicate sites,,,,
Laegern (CH-Lae),Lageren-10,Lageren-10,Temperate Deciduous Forest,7/2/19,merge duplicate sites,,,,
Laegern (CH-Lae),Lageren-11,Lageren-11,Temperate Deciduous Forest,7/2/19,merge duplicate sites,,,,
Laegern (CH-Lae),Lageren-12,Lageren-12,Temperate Deciduous Forest,7/2/19,merge duplicate sites,,,,
Laegern (CH-Lae),Lageren-13,Lageren-13,Temperate Deciduous Forest,7/2/19,merge duplicate sites,,,,
Laegern (CH-Lae),Lageren-14,Lageren-14,Temperate Deciduous Forest,7/2/19,merge duplicate sites,,,,
Laegern (CH-Lae),Lageren-15,Lageren-15,Temperate Deciduous Forest,7/2/19,merge duplicate sites,,,,
Laegern (CH-Lae),Lageren-16,Lageren-16,Temperate Deciduous Forest,7/2/19,merge duplicate sites,,,,
Laegern (CH-Lae),Quercus robur Forest. Stand established around 1907,LSgeren,Quercus robur Forest. Stand established around 1907,7/2/19,merge duplicate sites,,,,
Laegern (CH-Lae),Fagus sylvatica Forest. Stand established around 1907,LSgeren,Fagus sylvatica Forest. Stand established around 1907,7/2/19,merge duplicate sites,,,,
Laegern (CH-Lae),Abies alba Forest. Stand established around 1907,LSgeren,Abies alba Forest. Stand established around 1907,7/2/19,merge duplicate sites,,,,
Laegern (CH-Lae),Fraxinus excelsior Forest. Stand established around 1907,LSgeren,Fraxinus excelsior Forest. Stand established around 1907,7/2/19,merge duplicate sites,,,,
Laegern (CH-Lae),Acer pseudoplatanus Forest. Stand established around 1907,LSgeren,Acer pseudoplatanus Forest. Stand established around 1907,7/2/19,merge duplicate sites,,,,
Wombat,Mediterranean Evergreen Forest. Stand established around 1986,Wombat State Forest,Mediterranean Evergreen Forest. Stand established around 1986,7/2/19,merge duplicate sites,,,,
Wombat,Managed Mediterranean Evergreen Forest with Drought (-40%) treatment. Stand established around 1986,Wombat State Forest,Managed Mediterranean Evergreen Forest with Drought (-40%) treatment. Stand established around 1986,7/2/19,merge duplicate sites,,,,
Wombat State Forest Fire Effect Study Areas (FESA) ,Mediterranean Deciduous Forest with fire exclusion,Wombat State Forest,Mediterranean Deciduous Forest. Stand established around 1965,7/2/19,resolve problematic site /plot names,,,,
Wombat State Forest Fire Effect Study Areas (FESA) ,Mediterranean Deciduous Forest with low intensity burn approximately every 3 years (AH),Wombat State Forest-AL,Mediterranean Deciduous Forest. Stand established around 2006,7/2/19,resolve problematic site /plot names,,,,
Wombat State Forest Fire Effect Study Areas (FESA) ,Mediterranean Deciduous Forest with low intensity burn approximately every 10 years (AL),Wombat State Forest-AH,Mediterranean Deciduous Forest. Stand established around 2008,7/2/19,resolve problematic site /plot names,,,,
Fontainebleau-Barbeau (FR-Fon),Fontainebleu,Fontainebleu,Fontainebleu,7/2/19,merge duplicate sites,,,,
Fontainebleau-Barbeau (FR-Fon),FR-FON. mature sessile oak stand (Quercus petraea),Fontainebleu,Fontainebleu,7/2/19,merge duplicate sites,,,,
Fontainebleau-Barbeau (FR-Fon),Temperate Deciduous Forest. Stand established around 1881,Barbeau National Forest FR-Fon,Temperate Deciduous Forest. Stand established around 1881,7/2/19,merge duplicate sites,,,,
Yatir,Agrading Pinus halepensis planted stand planted starting 1964.,Yatir Forest,(any),7/2/19,merge duplicate sites,,,,
Yatir,Agrading Pinus halepensis planted stand planted starting 1964.,Yatir,maturing Pinus halepensis planted forest,7/2/19,merge duplicate sites,,,,
Arnot Forest,Temperate Deciduous Forest. Stand established around 1899. Earthworms.,Arnot Forest,Temperate Deciduous Forest. Stand established around 1899. ,7/3/19,separate plots based on SRDB notes,,,,
Tompkins Farm,Temperate Deciduous Forest. Stand established around 1924. Earthworms,Tompkins Farm,Temperate Deciduous Forest. Stand established around 1924. ,7/3/19,separate plots based on SRDB notes,,,,
Arnot Forest,Temperate Deciduous Forest. Stand established around 1899. No earthworms.,Arnot Forest,Temperate Deciduous Forest. Stand established around 1899. ,7/3/19,separate plots based on SRDB notes,,,,
Tompkins Farm,Temperate Deciduous Forest. Stand established around 1924. No earthworms.,Tompkins Farm,Temperate Deciduous Forest. Stand established around 1924. ,7/3/19,separate plots based on SRDB notes,,,,
El Eden Ecological Preserve,Aggrading Tropical Evergreen Forest. Stand established 1989,El Eden Ecological Preserve,Aggrading Tropical Evergreen Forest. Stand established around 2005,7/3/19,corrected based on SRDB notes,,,,
San Pedro- SPD-02,SPD02,San Pedro- SPD-02,Tropical Evergreen Forest,7/3/19,merge duplicate plots,,,,
San Pedro- SPD-01,SPD01,San Pedro- SPD-01,Tropical Evergreen Forest,7/3/19,merge duplicate plots,,,,
San Pedro- SPD-02,SPD02,San Pedro,Tropical Evergreen Forest,7/3/19,merge duplicate sites,,,,
Web-FACE,Ambient CO2,SCC FACE,Temperate Deciduous Forest. Stand established around 1907,7/15/19,merge duplicate sites,,,,
