"ForC_measurement.ID","GROA_ForC_measurement.ID"
2,31159
3,31159
2584,31159
2585,31159
2613,31159
2614,31159
3645,31159
3646,31159
3859,31159
3860,31159
4185,31159
4186,31159
5720,31159
5729,31159
5732,31159
5741,31159
5750,31159
5759,31159
5768,31159
5777,31159
5780,31159
5789,31159
7925,31159
7926,31159
7927,31159
10716,31159
10717,31159
12088,31159
12089,31159
12615,31159
12616,31159
13109,31159
13110,31159
13111,31159
13112,31159
13113,31159
13114,31159
13115,31159
13116,31159
13117,31159
13118,31159
13119,31159
13120,31159
13121,31159
13122,31159
13123,31159
13124,31159
13125,31159
13126,31159
13127,31159
13128,31159
13129,31159
13130,31159
13131,31159
13132,31159
13133,31159
13134,31159
13135,31159
13136,31159
13137,31159
13138,31159
13234,31159
13235,31159
13243,31159
13244,31159
13395,31159
13396,31159
14415,31159
14416,31159
15010,31159
15011,31159
2,31160
3,31160
2584,31160
2585,31160
2613,31160
2614,31160
3645,31160
3646,31160
3859,31160
3860,31160
4185,31160
4186,31160
5720,31160
5729,31160
5732,31160
5741,31160
5750,31160
5759,31160
5768,31160
5777,31160
5780,31160
5789,31160
7925,31160
7926,31160
7927,31160
10716,31160
10717,31160
12088,31160
12089,31160
12615,31160
12616,31160
13109,31160
13110,31160
13111,31160
13112,31160
13113,31160
13114,31160
13115,31160
13116,31160
13117,31160
13118,31160
13119,31160
13120,31160
13121,31160
13122,31160
13123,31160
13124,31160
13125,31160
13126,31160
13127,31160
13128,31160
13129,31160
13130,31160
13131,31160
13132,31160
13133,31160
13134,31160
13135,31160
13136,31160
13137,31160
13138,31160
13234,31160
13235,31160
13243,31160
13244,31160
13395,31160
13396,31160
14415,31160
14416,31160
15010,31160
15011,31160
2,31161
3,31161
2584,31161
2585,31161
2613,31161
2614,31161
3645,31161
3646,31161
3859,31161
3860,31161
4185,31161
4186,31161
5720,31161
5729,31161
5732,31161
5741,31161
5750,31161
5759,31161
5768,31161
5777,31161
5780,31161
5789,31161
7925,31161
7926,31161
7927,31161
10716,31161
10717,31161
12088,31161
12089,31161
12615,31161
12616,31161
13109,31161
13110,31161
13111,31161
13112,31161
13113,31161
13114,31161
13115,31161
13116,31161
13117,31161
13118,31161
13119,31161
13120,31161
13121,31161
13122,31161
13123,31161
13124,31161
13125,31161
13126,31161
13127,31161
13128,31161
13129,31161
13130,31161
13131,31161
13132,31161
13133,31161
13134,31161
13135,31161
13136,31161
13137,31161
13138,31161
13234,31161
13235,31161
13243,31161
13244,31161
13395,31161
13396,31161
14415,31161
14416,31161
15010,31161
15011,31161
2,31162
3,31162
2584,31162
2585,31162
2613,31162
2614,31162
3645,31162
3646,31162
3859,31162
3860,31162
4185,31162
4186,31162
5720,31162
5729,31162
5732,31162
5741,31162
5750,31162
5759,31162
5768,31162
5777,31162
5780,31162
5789,31162
7925,31162
7926,31162
