"measurement.ID","mean_annual_temperature_F","GPP"
118,NA,6.82
121,NA,6.65
262,77.36,39.05
287,77.36,41.88
359,NA,26.56
383,NA,20.72
407,NA,23.97
2017,NA,7.2394
2493,43.52,12.2
2496,43.52,12.4
2499,43.52,9.9
2502,43.52,10.3
2663,NA,17.74
2686,NA,20.23
2709,NA,20.84
2958,NA,36.3
2986,78.44,34.37
3028,78.44,32.08
3195,38.48,14.32
3197,38.48,13.3884
3844,73.4,32.49
3847,73.4,30.4
4076,68.666,13.6726
5242,78.296,32.1
5262,78.296,30.43
5263,78.296,31.33
5264,78.296,31.87
5278,77,30
5449,40.19,14.64
5450,40.19,15.62
5833,78.35,38.48
5834,78.35,36.22
5880,49.82,10.2
5881,49.82,10.37
5882,49.82,12.81
5915,46.562,17.57
5916,46.562,16.24
5920,46.562,15.77
5927,46.562,15.18
5938,46.562,16.7
5939,46.562,13.26
6537,43.43,12.03
6541,43.43,12.59
6544,43.43,13.81
6547,43.43,13.82
6550,43.43,14.49
6553,43.43,14.42
6556,43.43,12.82
7128,80.294,30
7261,67.64,19.7
7557,74.12,33.34
7918,76.28,28.41
7919,76.28,30.6
7920,76.28,33.9
8011,80.6,31.47
8824,77.72,33.8
8825,77.72,30.7
9137,66.65,24.42
9138,66.65,23.82
9139,66.65,23.75
9140,66.65,21.51
9141,66.65,21.27
9142,66.65,25.79
9167,NA,11.91
9190,NA,8.49
10260,46.4,10.43
10924,79.399999994,31.4
10927,79.399999994,33.7
10930,79.399999994,31.4
11926,33.98,10.9
11950,33.98,8.97
11953,33.98,8.95
11956,33.98,7.83
11959,33.98,8.42
11962,33.98,7.65
11965,33.98,9.01
11968,33.98,8.98
12664,75.92,35.6
12665,75.92,39.6
13429,75.2,20.62
14103,39.02,10.3
14119,39.02,10.37
14303,75.92,35.47
14317,75.92,34.47
14338,77,26.24
14675,33.44,6.96
14806,31.64,7.82
14807,31.64,7.06
14808,31.64,6.98
14809,31.64,7.73
14810,31.64,7.46
14811,31.64,6.93
14812,31.64,7.28
14813,31.64,6.1
14814,31.64,6.98
14843,31.64,10.8
14858,31.64,5.65
15304,15.98,2.1
16607,48.02,13.9975
17236,25.34,9.11
17242,25.34,7.77
