"measurement.ID","sites.sitename","plot.name","stand.age","dominant.life.form","dominant.veg","variable.name","date","start.date","end.date","mean","min.dbh","citation.ID","country","lat","lon","masl","mat","map","geographic.area","biogeog","Koeppen","FAO.ecozone","plot.area","year.establishment.oldest.trees","regrowth.hist.type","regrowth.year","dist.mrs.hist.type","dist.mrs.yr"
56,"Agua Pudre plot E AGP-01","unmanaged primary forest","999","woody","2TEB","ANPP_0",NA,"2004","2006",7.896,"NAC","Aragao_2009_aabn","Colombia",-3.73,-70.4,105,25.5,2723,6,"Neotropics","Af","Tropical rainforest","1","NAC","NAC","NAC","No disturbance","NI"
57,"Agua Pudre plot E AGP-01","unmanaged primary forest","999","woody","2TEB","ANPP_litterfall_1",NA,"2004","2006",3.666,NA,"Aragao_2009_aabn","Colombia",-3.73,-70.4,105,25.5,2723,6,"Neotropics","Af","Tropical rainforest","1","NAC","NAC","NAC","No disturbance","NI"
58,"Agua Pudre plot E AGP-01","unmanaged primary forest","999","woody","2TEB","ANPP_woody_stem",NA,"2004","2006",3.196,"NAC","Aragao_2009_aabn","Colombia",-3.73,-70.4,105,25.5,2723,6,"Neotropics","Af","Tropical rainforest","1","NAC","NAC","NAC","No disturbance","NI"
59,"Agua Pudre plot E AGP-01","unmanaged primary forest","999","woody","2TEB","ANPP_woody",NA,"2004","2006",4.136,"NAC","Aragao_2009_aabn","Colombia",-3.73,-70.4,105,25.5,2723,6,"Neotropics","Af","Tropical rainforest","1","NAC","NAC","NAC","No disturbance","NI"
60,"Agua Pudre plot E AGP-01","unmanaged primary forest","999","woody","2TEB","BNPP_root_coarse",NA,"2004","2006",0.658,"NAC","Aragao_2009_aabn","Colombia",-3.73,-70.4,105,25.5,2723,6,"Neotropics","Af","Tropical rainforest","1","NAC","NAC","NAC","No disturbance","NI"
61,"Agua Pudre plot E AGP-01","unmanaged primary forest","999","woody","2TEB","BNPP_root_fine",NA,"2004","2006",2.068,NA,"Aragao_2009_aabn","Colombia",-3.73,-70.4,105,25.5,2723,6,"Neotropics","Af","Tropical rainforest","1","NAC","NAC","NAC","No disturbance","NI"
62,"Agua Pudre plot E AGP-01","unmanaged primary forest","999","woody","2TEB","BNPP_root",NA,"2004","2006",2.726,"NAC","Aragao_2009_aabn","Colombia",-3.73,-70.4,105,25.5,2723,6,"Neotropics","Af","Tropical rainforest","1","NAC","NAC","NAC","No disturbance","NI"
63,"Agua Pudre plot E AGP-01","unmanaged primary forest","999","woody","2TEB","NPP_1",NA,"2004","2006",10.528,"NAC","Aragao_2009_aabn","Colombia",-3.73,-70.4,105,25.5,2723,6,"Neotropics","Af","Tropical rainforest","1","NAC","NAC","NAC","No disturbance","NI"
64,"Agua Pudre plot E AGP-01","unmanaged primary forest","999","woody","2TEB","NPP_woody","NI","NI","NI",5.54,"NAC","Malhi_2011_taoe","Colombia",-3.73,-70.4,105,25.5,2723,6,"Neotropics","Af","Tropical rainforest","1","NAC","NAC","NAC","No disturbance","NI"
66,"Agua Pudre plot U AGP-02","unmanaged primary forest","999","woody","2TEB","ANPP_0",NA,"2004","2006",8.084,"NAC","Aragao_2009_aabn","Colombia",-3.72,-70.3,110,25.5,2723,6,"Neotropics","Af","Tropical rainforest","1","NAC","NAC","NAC","No disturbance","NI"
