"measurement.ID","dominant.veg"
35479,"Mixed"
35480,"Mixed"
35481,"Mixed"
35482,"Mixed"
35483,"Mixed"
35484,"Mixed"
35485,"Mixed"
35486,"Mixed"
35487,"Mixed"
35488,"Mixed"
35489,"Mixed"
35490,"Mixed"
35491,"Mixed"
35492,"Mixed"
35493,"Mixed"
35494,"Mixed"
35495,"Mixed"
35496,"Mixed"
35497,"Mixed"
35498,"Mixed"
35499,"Mixed"
35500,"Mixed"
35501,"Mixed"
35502,"Mixed"
35503,"Mixed"
35504,"Mixed"
35505,"Mixed"
35506,"Mixed"
35507,"Mixed"
35508,"Mixed"
35509,"Mixed"
35510,"Mixed"
35511,"Mixed"
35512,"Mixed"
35513,"Mixed"
35514,"Mixed"
35515,"Mixed"
35516,"Mixed"
35517,"Mixed"
35518,"Mixed"
35519,"Mixed"
35520,"Mixed"
35521,"Mixed"
35522,"Mixed"
35523,"Mixed"
35524,"Mixed"
35525,"Mixed"
35526,"Mixed"
35527,"Mixed"
35528,"Mixed"
35529,"Mixed"
35530,"Mixed"
35531,"Mixed"
35532,"Mixed"
35533,"Mixed"
35534,"Mixed"
35535,"Mixed"
35536,"Mixed"
35537,"Mixed"
35538,"Mixed"
