Column,Field,Description,Storage.Type,Variable.Codes,Units,Populated.by,n,Min,Max
1 / A,measurement.ID,Unique identifier for each record in the measurements table.,numeric (integer),-,-,manual entry,17367,1,17367
2 / B,sites.sitename,"Unique site identifier, descriptive enough to differentiate from other sites and sufficient to identify the site within the original publication. When an offficial/conventional name exists for a site, this should be used. Links to SITES, PLOTS, HISTORY, and MEASUREMENTS tables.",character (string),-,-,manual entry,17367,-,-
3 / C,plot.name,"Plot name, unique within the associated site and sufficient to identify the plot within the original publication.",character (string),-,-,manual entry,16715,-,-
4 / D,stand.age,"Age of stand at time of measurement as reported in the original publication or calculated based on the date of initiation of forest regrowth. When the publication reports a range of ages, the mean is recorded. For stands that were reported as primary/old-growth/mature/ intact stands, the stand.age is recorded as ""999"". WARNING: The ""999"" designation may include some older secondary stands that were designated ""mature"" or some partially disturbed primary stands (e.g., partially logged).",numeric (double),see description,years,manual entry,14500,0,3400
5 / E,dominant.life.form,"Dominant life form at time of measurement, with categories including ""woody"" (trees, seedlings, or shrubs), ""grass"",  ""woody+grass"" (i.e., savanna), ""crop"", and ""bare"". ",character (string),see description,-,manual entry,17366,-,-
6 / F,dominant.veg,"Code used to identify plant functional type of dominant vegetation at time of measurement. For trees, groupings are based on leaf type (broadleaf /needleleaf/ mixed) and phenology (deciduous/ evergreen/ mixed), and dominance is defined based on an 80% threshold (if given). If vegetation is a mix of trees and other vegetation, codes refer to the functional type of trees. For vegetation with no significant tree species component, groupings are by life form, if any. ",character (string),Given in PFT table,-,manual entry,17344,-,-
7 / G,scientific.name,"Genus and species for single dominant species at time of measurement, if applicable.",character (string),-,-,manual entry,3349,-,-
8 / H,veg.notes,"Notes on the vegetation at time of measurement (e.g., forest type/ list of dominant species). For single species, field gives species name acronym, as listed in the USDA Plants Checklist (http://plants.usda.gov/dl_all.html). ",character (string),-,-,manual entry,5440,-,-
9 / I,variable.name,Code name for variable sampled. ,character (string),Given in VARIABLES table,-,manual entry,17367,-,-
10 / J,date,"Date on which measurement was made, in decimal year format (e.g., May 2017 is [2017+5/12]). Usually found as the year of measurement in the methods section, or, when unavailable, approximated as the year before publication. Should be reported for all stock variables, may be reported for fluxes. If start and end date are known, this should be the midpoint (convention implemented 10/2018, not strictly followed prior). ",numeric (double),-,decimal years,manual entry,10694,1934,2016
11 / K,date.loc,Level of confidence in date. ,numeric (double),Given in dateLOC table,-,manual entry,17301,5,9
12 / L,start.date,"Date on which measurements were started, in decimal year format (e.g., May 2017 is [2017+5/12]). Should be provided for all flux variables, may be provided for stocks if span of measurement dates is reported.",numeric (double),,decimal years,manual entry,3515,1955,2015
13 / M,start.date.loc,Level of confidence in date. ,numeric (double),Given in dateLOC table,-,manual entry,17261,5,9
14 / N,end.date,"Date on which measurements ended,  in decimal year format (e.g., May 2017 is [2017+5/12]). Should be provided for all flux variables, may be provided for stocks if span of measurement dates is reported.",numeric (double),,decimal years,manual entry,3512,1964,2016
15 / O,end.date.loc,Level of confidence in date. ,numeric (double),Given in dateLOC table,-,manual entry,17258,5,9
16 / P,mean,Mean value of measurement recorded. Units depend on the variable and can be found in the VARIABLES table. ,numeric (double) ,-,Given in VARIABLES table,manual entry,17367,-25,1533
17 / Q,original.units,units presented in original publication,character (string),-,,manual entry,,,
18 / R,mean.in.original.units,"mean value in units presented in original publication. If it is already in ForC units, fill with `NA`",numeric (double) ,-,Given in `original.units` field.,manual entry,,,
19 / S,C.conversion.factor,"Assumed/ measured C content of organic matter (as fraction between 0 and 1), used to convert organic matter to C (if applicable).",numeric (double) ,-,,,,,
20 / T,n,Number of experimental replicates used to estimate mean and statistical summary.,numeric (integer) ,-,-,manual entry,7599,1,4810
21 / U,sd,standard deviation,numeric (double) ,-,Given in VARIABLES table,manual entry,,,
22 / V,se,standard error,numeric (double) ,-,Given in VARIABLES table,manual entry,,,
23 / W,lower95CI,lower 95% CI,numeric (double) ,-,Given in VARIABLES table,manual entry,,,
24 / X,upper95CI,upper 95% CI,numeric (double) ,-,Given in VARIABLES table,manual entry,,,
25 / Y,area.sampled,"Area sampled for measurement of the particular variable. If the measurement includes multiple components with different sampling area (e.g., large trees sampled in the entire plot, small trees sampled in subplots), the largest area is reported. This may be less than plot.area (PLOTS table). As this field was added after most of the data had been entered, it is coded as ""NAC"" for most records.",numeric (double),-,ha,manual entry,240,0,48
26 / Z,notes,"Additional information about the record, including notes on methodology and notes on any known anomalies.  Potentially problematic values have notes prefaced with asterisks. ",character (string),-,-,manual entry,3970,-,-
27 / AA,method.ID,Code number for methodology. ,numeric (integer),Given in METHODOLOGY table,-,manual entry,6376,1,448
28 / AB,allometry_1,Code number for allometry (when it is a required covariate).,numeric (integer),Given in ALLOMETRY table,-,manual entry,1129,1,35
29 / AC,allometry_2,Code number for allometry (when it is a required covariate).,numeric (integer),Given in ALLOMETRY table,-,manual entry,177,3,34
30 / AD,min.dbh,"Minimum diameter (typically DBH, diameter at breast height) of tree stems included in the measurement. ""0"" indicates that all stems were included.",numeric (integer),,cm,manual entry,2342,0,40
31 / AE,depth,Depth of measurement if belowground or including belowground components,numeric (integer),-,cm,manual entry,799,0,1200
32 / AF,covariate_1,Code name for covariate associated with the variable being measured. Codes defined in VARIABLES table.,character (string),-,-,manual entry,3811,-,-
33 / AG,coV_1.value,Value of reported covariate.,character (string),-,VARIABLES table,manual entry,981,0,130
34 / AH,covariate_2,Code name for covariate associated with the variable being measured. Codes defined in VARIABLES table.,character (string),-,-,manual entry,27,-,-
35 / AI,coV_2.value,Value of reported covariate.,numeric (double) ,-,VARIABLES table,manual entry,27,2,50
36 / AJ,conflicts,"Indicates whether the record is independent or whether there is some sort of conflict/overlap with any other record. There may be more than one. Records are classified as subsuming others when their measurement period includes that of another record or when measurement dates are unknown, indicating a potential conflict. Duplicates are measurements of the same variable (C or OM) in the same plot (or overlapping plot) at the same time (or overlapping time).",character (string) ,I- idependent; R- replicate; S/s- Subsumes (S)/ is subsumed by (s) another record; D- Duplicates another record.,-,script,,,
37 / AK,R.group,Number idenifying a group of replicates.,numeric (double) ,-,-,script,,,
38 / AL,S.group,"Number identifying a group of non-independent records where one or more record subsumes another / others (e.g., one measurement period includes another).",numeric (double) ,-,-,script,,,
39 / AM,D.group,Number identifying a group of non-independent records that duplicate  or overlap one another as defined in D.type field.,numeric (double) ,-,-,script,,,
