Column,Field,Description,Storage.Type,Variable.Codes,Units,Populated.by,n,Min,Max
1 / A,plot.ID,Unique numerical identifier for each record in the plots table.,numeric (integer),-,-,script,10580,1,11010
2 / B,sites.sitename,"Unique site identifier, descriptive enough to differentiate from other sites and sufficient to identify the site within the original publication. When an offficial/conventional name exists for a site, this should be used. Links to SITES, PLOTS, HISTORY, and MEASUREMENTS tables.",character (string),-,-,script,10581,-,-
3 / C,plot.name,"Plot name, unique within the associated site and sufficient to identify the plot within the original publication.",character (string),-,-,script,10485,-,-
4 / D,plot.area,"Area of plot or combined area of replicate plots. For forest monitoring plots that change in area, this should be the most recent area. Note that area.sampled is recorded separately in the measurements table.",numeric (double),-,ha,script,2737,0,120
5 / E,establishment.ID,HistoryID (if any) detailing the establishment of oldest trees or of a keystone/ dominant tree taxa.,numeric (double),0-no record; nonzero number- history.ID,-,script,10581,0,10996
6 / F,year.establishment.oldest.trees,Year of establishment of the oldest trees or of a keystone/ dominant tree taxa. Refers to the record in HISTORY that is indexed in etablishment.ID.,numeric (double),,-,script,4040,1013,2012
7 / G,regrowth.ID,HistoryID (if any) detailing the initiation of forest (re)growth on previously non-forested land or following the most recent severe disturbance.,numeric (double),0-no record; nonzero number- history.ID,decimal years,script,10581,0,11010
8 / H,regrowth.type,"Type of forest (re)growth--e.g., natural succession or planted--following the most recent severe disturbance, if known. Refers to the record in HISTORY that is indexed in regrowth.ID.",character (string),Given in HISTTYPE metadata table,-,script,7380,-,-
9 / I,regrowth.year,"Year of forest (re)growth following the most recent severe disturbance, if known. Refers to the record in HISTORY that is indexed in regrowth.ID.",numeric (double),,decimal years,script,2933,1206,2012
10 / J,dist.mrs.ID,HistoryID (if any) detailing the most recent severe/ stand clearing disturbance or event in a disturbance sequence (see description of dist.additional.mrs.ID). ,numeric (double),0-no record; nonzero number- history.ID,-,script,10581,0,11010
11 / K,distmrs.type,"Type of the most recent severe/ stand clearing disturbance or event in a disturbance sequence, if any. Refers to event indexed in dist.mrs.ID.",character (string),Given in HISTTYPE metadata table,-,script,4251,-,-
12 / L,mortality,"Percent tree mortality caused by the most recent severe/ stand clearing disturbance. Values may be approximate and are unsuitable for direct comparisons because they are not standardized by tree size threshold. A value of 100% was automatically assigned in cases of land clearing for agricultural purposes and for clear-cuts. Values of ""<100"" indicate that at least some trees survived, but (for events listed in this field) the disturbance was confirmed severe. Refers to event indexed in dist.mrs.ID.",numeric (double) or character (string),,%,script,3283,95,100
13 / M,distmrs.year,"Year of the most recent severe/ stand clearing disturbance or event in a disturbance sequence. For a multi-year disturbance (e.g., agricultural use), the starting year is given. Refers to event indexed in dist.mrs.ID.",numeric (double),0-no record; nonzero number- history.ID,decimal years,script,2241,1013,2012
14 / N,dist.additional.mrs.ID,"HistoryID(s), if any, detailing any additional history events in the most recent severe/ stand-clearing disturbance sequence. For example, for a disturbance sequence consisting of cutting, burning, and cultivation, cutting and burning events would be indicated here, cultivation would be indicated in dist.mrs.ID.",numeric (double),"0-no record; nonzero decimal- history.ID; nonzero integer- plot number, given if this field refers to multiple records in HISTORY.",-,script,10581,0,11010
15 / O,prior.history.ID,"HistoryID(s), if any, detailing any regrowth or severe / stand clearing disturbance events prior to the most recent severe/ stand-clearing disturbance sequence. Such events are categorized as ""regrowth_prior"" or ""disturbance_prior"" in HISTORY.",numeric (double),"0-no record; nonzero decimal- history.ID; nonzero integer- plot number, given if this field refers to multiple records in HISTORY.",-,script,10581,0,2478
