"Biome","Age","n_records"
"Boreal broadleaf","MATURE",3
"Boreal conifer","MATURE",673
"Boreal Other","MATURE",53
"Other broadleaf","MATURE",8
"Other conifer","MATURE",25
"Other Other","MATURE",6
"Temperate broadleaf","MATURE",927
"Temperate conifer","MATURE",664
"Temperate Other","MATURE",204
"Tropical broadleaf","MATURE",1190
"Tropical conifer","MATURE",3
"Tropical Other","MATURE",8
"Boreal broadleaf","YOUNG",416
"Boreal conifer","YOUNG",1302
"Boreal Other","YOUNG",267
"Other broadleaf","YOUNG",126
"Other conifer","YOUNG",48
"Other Other","YOUNG",23
"Temperate broadleaf","YOUNG",3581
"Temperate conifer","YOUNG",3216
"Temperate Other","YOUNG",2494
"Tropical broadleaf","YOUNG",3055
"Tropical conifer","YOUNG",4
"Tropical Other","YOUNG",0
"Boreal broadleaf",NA,7
"Boreal conifer",NA,10
"Boreal Other",NA,2
"Other broadleaf",NA,3
"Other conifer",NA,3
"Other Other",NA,2
"Temperate broadleaf",NA,238
"Temperate conifer",NA,172
"Temperate Other",NA,134
"Tropical broadleaf",NA,109
"Tropical conifer",NA,0
"Tropical Other",NA,9
