"Biome","variable.diagram","mean","std","equation","components.with.sufficient.data","sum.of.components","test","lack.of.closure"
"Tropical broadleaf MATURE","NEE",-0.91,1.9,"R_eco - GPP","R_eco; GPP",-0.729999999999997,"equal",0
"Tropical broadleaf MATURE","GPP",30.49,7.14,"NPP + R_auto_ag","NPP",10.15,"smaller",0
"Tropical broadleaf MATURE","NPP",10.15,2.52,"ANPP + BNPP","ANPP; BNPP",10.1,"equal",0
"Tropical broadleaf MATURE","ANPP",6.19,2.29,"ANPP_foliage + ANPP_woody + ANPP_repro + ANPP_folivory","ANPP_foliage; ANPP_woody; ANPP_repro; ANPP_folivory",6.84,"equal",0
"Tropical broadleaf MATURE","ANPP_woody",3.08,1.12,"ANPP_branch + ANPP_stem","ANPP_branch; ANPP_stem",3.59,"equal",0
"Tropical broadleaf MATURE","ANPP_stem",2.82,1.28,"woody.mortality","woody.mortality",2.56,"equal",0
"Tropical broadleaf MATURE","ANPP_branch",0.77,0.38,NA,"",NA,NA,NA
"Tropical broadleaf MATURE","ANPP_foliage",2.95,0.76,NA,"",NA,NA,NA
"Tropical broadleaf MATURE","ANPP_litterfall",3.74,1.22,"ANPP_foliage + ANPP_branch + ANPP_repro","ANPP_foliage; ANPP_branch; ANPP_repro",4.04,"equal",0
"Tropical broadleaf MATURE","ANPP_repro",0.32,0.15,NA,"",NA,NA,NA
"Tropical broadleaf MATURE","ANPP_folivory",0.49,0.42,NA,"",NA,NA,NA
"Tropical broadleaf MATURE","woody.mortality",2.56,0.99,NA,"",NA,NA,NA
"Tropical broadleaf MATURE","delta.agb",2.56,0.99,NA,"",NA,NA,NA
"Tropical broadleaf MATURE","BNPP",3.91,1.46,"BNPP_coarse + BNPP_fine","BNPP_coarse; BNPP_fine",3.03,"equal",0
"Tropical broadleaf MATURE","BNPP_coarse",0.41,0.23,NA,"",NA,NA,NA
"Tropical broadleaf MATURE","BNPP_fine",2.62,1.19,NA,"",NA,NA,NA
"Tropical broadleaf MATURE","R_eco",29.76,6.07,NA,"",NA,NA,NA
"Tropical broadleaf MATURE","R_auto",20.58,3.27,NA,"",NA,NA,NA
"Tropical broadleaf MATURE","R_auto_ag",20.58,3.27,NA,"",NA,NA,NA
"Tropical broadleaf MATURE","R_root",20.58,3.27,NA,"",NA,NA,NA
"Tropical broadleaf MATURE","R_het_soil",8.85,2.22,NA,"",NA,NA,NA
"Tropical broadleaf MATURE","R_soil",13.88,4.32,"R_root + R_het_soil","R_het_soil",8.85,"smaller",0
"Tropical broadleaf MATURE","biomass",167.92,62.92,"biomass_ag + biomass_root","biomass_ag; biomass_root",184.18,"equal",0
"Tropical broadleaf MATURE","biomass_ag",162.14,64.25,"biomass_foliage + biomass_ag_woody","biomass_foliage; biomass_ag_woody",136.81,"equal",0
"Tropical broadleaf MATURE","biomass_ag_woody",132.65,46.53,NA,"",NA,NA,NA
"Tropical broadleaf MATURE","biomass_foliage",4.16,1.01,NA,"",NA,NA,NA
"Tropical broadleaf MATURE","biomass_root",22.04,12.44,"biomass_root_coarse + biomass_root_fine","biomass_root_fine",7.01,"smaller",0
"Tropical broadleaf MATURE","biomass_root_coarse",22.04,12.44,NA,"",NA,NA,NA
"Tropical broadleaf MATURE","biomass_root_fine",7.01,7.01,NA,"",NA,NA,NA
"Tropical broadleaf MATURE","deadwood",15.53,11.57,"deadwood_standing + deadwood_down","deadwood_standing",10.29,"equal",0
"Tropical broadleaf MATURE","deadwood_standing",10.29,10.96,NA,"",NA,NA,NA
"Tropical broadleaf MATURE","deadwood_down",10.29,10.96,NA,"",NA,NA,NA
"Tropical broadleaf MATURE","organic.layer",9.04,14.03,NA,"",NA,NA,NA
"Tropical broadleaf YOUNG","NEE",9.04,14.03,"R_eco - GPP","",NA,NA,NA
"Tropical broadleaf YOUNG","GPP",9.04,14.03,"NPP + R_auto_ag","",NA,NA,NA
"Tropical broadleaf YOUNG","NPP",9.04,14.03,"ANPP + BNPP","",NA,NA,NA
"Tropical broadleaf YOUNG","ANPP",9.04,14.03,"ANPP_foliage + ANPP_woody + ANPP_repro + ANPP_folivory","",NA,NA,NA
"Tropical broadleaf YOUNG","ANPP_woody",9.04,14.03,"ANPP_branch + ANPP_stem","",NA,NA,NA
"Tropical broadleaf YOUNG","ANPP_stem",9.04,14.03,"woody.mortality","",NA,NA,NA
"Tropical broadleaf YOUNG","ANPP_branch",9.04,14.03,NA,"",NA,NA,NA
"Tropical broadleaf YOUNG","ANPP_foliage",9.04,14.03,NA,"",NA,NA,NA
"Tropical broadleaf YOUNG","ANPP_litterfall",9.04,14.03,"ANPP_foliage + ANPP_branch + ANPP_repro","",NA,NA,NA
"Tropical broadleaf YOUNG","ANPP_repro",9.04,14.03,NA,"",NA,NA,NA
"Tropical broadleaf YOUNG","ANPP_folivory",9.04,14.03,NA,"",NA,NA,NA
"Tropical broadleaf YOUNG","woody.mortality",9.04,14.03,NA,"",NA,NA,NA
"Tropical broadleaf YOUNG","delta.agb",9.04,14.03,NA,"",NA,NA,NA
"Tropical broadleaf YOUNG","BNPP",9.04,14.03,"BNPP_coarse + BNPP_fine","",NA,NA,NA
"Tropical broadleaf YOUNG","BNPP_coarse",9.04,14.03,NA,"",NA,NA,NA
"Tropical broadleaf YOUNG","BNPP_fine",9.04,14.03,NA,"",NA,NA,NA
"Tropical broadleaf YOUNG","R_eco",9.04,14.03,NA,"",NA,NA,NA
"Tropical broadleaf YOUNG","R_auto",9.04,14.03,NA,"",NA,NA,NA
"Tropical broadleaf YOUNG","R_auto_ag",9.04,14.03,NA,"",NA,NA,NA
"Tropical broadleaf YOUNG","R_root",9.04,14.03,NA,"",NA,NA,NA
"Tropical broadleaf YOUNG","R_het_soil",9.04,14.03,NA,"",NA,NA,NA
"Tropical broadleaf YOUNG","R_soil",9.04,14.03,"R_root + R_het_soil","",NA,NA,NA
"Tropical broadleaf YOUNG","biomass",66.93,72.85,"biomass_ag + biomass_root","biomass_ag; biomass_root",57.81,"equal",0
"Tropical broadleaf YOUNG","biomass_ag",45.63,39.05,"biomass_foliage + biomass_ag_woody","biomass_foliage; biomass_ag_woody",55.17,"equal",0
"Tropical broadleaf YOUNG","biomass_ag_woody",51.36,23.92,NA,"",NA,NA,NA
"Tropical broadleaf YOUNG","biomass_foliage",3.81,3.19,NA,"",NA,NA,NA
"Tropical broadleaf YOUNG","biomass_root",12.18,8.52,"biomass_root_coarse + biomass_root_fine","",0,"smaller",0
"Tropical broadleaf YOUNG","biomass_root_coarse",12.18,8.52,NA,"",NA,NA,NA
"Tropical broadleaf YOUNG","biomass_root_fine",12.18,8.52,NA,"",NA,NA,NA
"Tropical broadleaf YOUNG","deadwood",4.72,3.27,"deadwood_standing + deadwood_down","",0,"smaller",0
"Tropical broadleaf YOUNG","deadwood_standing",4.72,3.27,NA,"",NA,NA,NA
"Tropical broadleaf YOUNG","deadwood_down",4.72,3.27,NA,"",NA,NA,NA
"Tropical broadleaf YOUNG","organic.layer",5.13,3.64,NA,"",NA,NA,NA
"Temperate broadleaf MATURE","NEE",5.13,3.64,"R_eco - GPP","",NA,NA,NA
"Temperate broadleaf MATURE","GPP",17.17,4.29,"NPP + R_auto_ag","NPP",6.5,"smaller",0
