"Biome","variable.type","variable.diagram","mean","std","se","LCI","UCI","min","max","equation","n.records","n.plots","n.areas"
"Tropical broadleaf MATURE","flux","NEP",2.01,3.35,0.2,1.62,2.39,-1.4,11.1,NA,40,23,17
"Tropical broadleaf YOUNG","flux","NEP",4,0.57,0.28,3.45,4.55,3.6,4.4,NA,2,2,2
"Temperate broadleaf MATURE","flux","NEP",3.19,1.81,0.23,2.74,3.63,0.52,5.43,NA,37,9,8
"Temperate broadleaf YOUNG","flux","NEP",2.49,1.51,0.06,2.37,2.61,0.33,5.51,NA,75,31,25
"Temperate conifer MATURE","flux","NEP",0.83,1.99,0.18,0.48,1.19,-2.31,5.16,NA,40,17,11
"Temperate conifer YOUNG","flux","NEP",2.38,2.75,0.12,2.15,2.61,-2.9,5.94,NA,55,34,23
"Boreal conifer MATURE","flux","NEP",1.03,0.89,0.13,0.78,1.27,0.06,2.7,NA,34,13,7
"Boreal conifer YOUNG","flux","NEP",0.94,1.36,0.11,0.72,1.16,-0.87,3.63,NA,94,36,12
"Tropical broadleaf MATURE","flux","GPP",31.04,6.5,0.36,30.33,31.74,12.11,40.47,NA,50,24,18
"Tropical broadleaf YOUNG","flux","GPP",27.1,NA,NA,NA,NA,27.1,27.1,NA,1,1,1
"Temperate broadleaf MATURE","flux","GPP",18.36,4.91,0.55,17.3,19.43,11.2,25.21,NA,54,18,9
"Temperate broadleaf YOUNG","flux","GPP",15.03,5.55,0.5,14.05,16.02,6.34,23.66,NA,45,13,11
"Temperate conifer MATURE","flux","GPP",15.05,5.39,0.6,13.87,16.22,6.2,23.75,NA,47,16,9
"Temperate conifer YOUNG","flux","GPP",14.93,5.66,0.31,14.31,15.55,6.33,25.91,NA,37,23,18
"Boreal conifer MATURE","flux","GPP",7.39,2.59,0.37,6.67,8.12,2.1,9.15,NA,37,9,7
"Boreal conifer YOUNG","flux","GPP",8.49,3.6,0.45,7.61,9.38,4.22,16.1,NA,38,16,8
"Tropical broadleaf MATURE","flux","NPP",10.72,2.79,0.2,10.33,11.11,5.18,15.5,NA,30,25,14
"Tropical broadleaf YOUNG","flux","NPP",11.59,3.18,0.8,10.03,13.15,9.16,15.98,NA,5,4,4
"Temperate broadleaf MATURE","flux","NPP",6.38,1.75,0.12,6.15,6.61,3.4,11.23,NA,49,27,15
"Temperate broadleaf YOUNG","flux","NPP",6.41,1.93,0.12,6.18,6.65,2.05,8.85,NA,72,22,16
"Temperate conifer MATURE","flux","NPP",4.9,1.85,0.18,4.53,5.26,2.64,8.16,NA,29,18,10
"Temperate conifer YOUNG","flux","NPP",6.51,3.54,0.32,5.88,7.14,2.34,13.61,NA,34,15,11
"Boreal conifer MATURE","flux","NPP",2.72,0.91,0.09,2.55,2.9,1.8,4.7,NA,30,20,10
"Boreal conifer YOUNG","flux","NPP",3.63,1.93,0.24,3.16,4.1,2.23,7.92,NA,43,34,8
"Tropical broadleaf MATURE","flux","ANPP",6.46,2.55,0.08,6.31,6.61,1.81,12.06,NA,105,85,33
"Tropical broadleaf YOUNG","flux","ANPP",6.24,2.86,0.48,5.31,7.17,2.62,10.62,NA,20,10,6
"Temperate broadleaf MATURE","flux","ANPP",3.37,1.21,0.05,3.27,3.48,2.07,7.1,NA,80,45,23
"Temperate broadleaf YOUNG","flux","ANPP",4.39,1.7,0.05,4.28,4.5,2.17,9.46,NA,99,69,31
"Temperate conifer MATURE","flux","ANPP",3.08,1.35,0.08,2.92,3.23,1.15,5.96,NA,71,38,17
"Temperate conifer YOUNG","flux","ANPP",3.27,1.67,0.06,3.15,3.39,0.49,7.29,NA,80,55,27
"Boreal conifer MATURE","flux","ANPP",1.42,0.6,0.05,1.32,1.52,0.45,2.29,NA,31,26,12
"Boreal conifer YOUNG","flux","ANPP",2.37,1.18,0.08,2.21,2.52,1.12,4.7,NA,80,56,15
"Tropical broadleaf MATURE","flux","ANPP_woody",3.18,1.16,0.13,2.92,3.43,1.1,4.85,NA,15,13,9
"Tropical broadleaf YOUNG","flux","ANPP_woody",3.29,NA,NA,NA,NA,3.29,3.29,NA,1,1,1
"Temperate broadleaf MATURE","flux","ANPP_woody",1.43,0.48,0.16,1.12,1.75,0.89,1.77,NA,13,13,3
"Temperate broadleaf YOUNG","flux","ANPP_woody",2.77,0.99,0.25,2.29,3.26,1.96,4.22,NA,13,5,4
"Temperate conifer MATURE","flux","ANPP_woody",2.48,1.03,0.13,2.23,2.74,1.12,4.31,NA,19,19,8
"Temperate conifer YOUNG","flux","ANPP_woody",2.69,1.52,0.14,2.42,2.96,0.35,5.17,NA,24,24,11
"Boreal conifer MATURE","flux","ANPP_woody",0.92,0.47,0.08,0.76,1.07,0.21,1.48,NA,11,10,6
"Boreal conifer YOUNG","flux","ANPP_woody",1.66,1.02,0.13,1.4,1.91,0.63,3.26,NA,30,29,8
"Tropical broadleaf MATURE","flux","ANPP_stem",2.75,1.18,0.02,2.71,2.79,0.23,6.47,NA,189,184,59
"Tropical broadleaf YOUNG","flux","ANPP_stem",2.21,1.14,0.28,1.65,2.76,1.32,3.76,NA,11,11,4
"Temperate broadleaf MATURE","flux","ANPP_stem",1.63,0.77,0.04,1.55,1.71,0.43,3.18,NA,55,48,19
"Temperate broadleaf YOUNG","flux","ANPP_stem",2.54,1.1,0.07,2.4,2.68,0.72,4.67,NA,81,47,15
"Temperate conifer MATURE","flux","ANPP_stem",1.88,0.96,0.08,1.72,2.03,0.85,4.08,NA,27,26,12
"Temperate conifer YOUNG","flux","ANPP_stem",2.24,1.31,0.09,2.06,2.43,0.29,4.46,NA,52,52,14
