"variable.name","boreal_broadleaf_< 100 years","boreal_broadleaf_= 100 years","boreal_broadleaf_age unknown","boreal_conifer_< 100 years","boreal_conifer_= 100 years","boreal_conifer_age unknown","boreal_mix_< 100 years","boreal_mix_= 100 years","boreal_mix_age unknown","boreal_other veg type_< 100 years","boreal_other veg type_age unknown","other biome_broadleaf_< 100 years","other biome_broadleaf_= 100 years","other biome_broadleaf_age unknown","other biome_conifer_< 100 years","other biome_conifer_= 100 years","other biome_conifer_age unknown","other biome_mix_< 100 years","other biome_mix_= 100 years","other biome_mix_age unknown","other biome_other veg type_< 100 years","other biome_other veg type_age unknown","temperate_broadleaf_< 100 years","temperate_broadleaf_= 100 years","temperate_broadleaf_age unknown","temperate_conifer_< 100 years","temperate_conifer_= 100 years","temperate_conifer_age unknown","temperate_mix_< 100 years","temperate_mix_= 100 years","temperate_mix_age unknown","temperate_other veg type_< 100 years","temperate_other veg type_= 100 years","temperate_other veg type_age unknown","tropical_broadleaf_< 100 years","tropical_broadleaf_= 100 years","tropical_broadleaf_age unknown","tropical_conifer_< 100 years","tropical_conifer_= 100 years","tropical_conifer_age unknown","tropical_mix_< 100 years","tropical_mix_= 100 years","tropical_mix_age unknown","tropical_other veg type_< 100 years","tropical_other veg type_= 100 years","tropical_other veg type_age unknown"
"biomass_ag",140,9,2,388,279,25,49,50,2,2,2,53,2,3,42,37,3,5,1,1,8,0,1483,178,64,1228,300,38,315,34,12,943,11,1,975,487,47,16,1,0,31,6,3,1728,5,0
"biomass_root",99,6,0,298,73,2,20,0,1,2,0,50,1,2,29,32,0,2,1,0,3,0,1068,119,25,1016,196,12,213,32,5,802,11,0,302,66,16,7,0,0,4,0,0,125,1,0
"NEE",37,3,1,135,64,14,21,1,0,0,0,0,0,13,10,0,4,0,0,0,0,0,277,44,25,261,84,18,54,14,1,5,4,0,4,52,12,0,0,0,0,0,0,0,0,2
"GPP",36,0,0,198,138,40,8,1,0,0,0,1,0,34,15,36,4,0,0,0,0,0,554,183,26,474,210,38,33,85,10,4,0,0,12,131,24,0,0,0,0,0,0,0,0,2
"R_eco",34,0,0,131,58,12,4,1,0,0,0,1,0,6,9,0,4,0,0,0,0,0,277,63,16,288,68,19,26,17,5,4,0,0,5,61,10,0,0,0,2,0,0,0,0,2
"R_soil",21,0,4,118,59,11,26,0,1,0,1,14,2,19,50,7,13,2,1,9,0,2,708,145,203,681,184,119,105,70,103,2,0,2,112,73,136,6,0,0,10,0,5,0,0,1
"biomass_root_fine",16,1,0,54,29,0,6,0,0,0,0,1,0,0,14,1,0,0,0,0,0,0,273,50,18,236,38,12,20,21,6,0,0,0,76,29,11,4,0,0,11,3,1,0,0,0
"organic.layer",15,1,0,44,7,0,7,0,0,0,0,1,0,0,31,2,2,3,0,0,0,0,152,26,34,169,90,25,17,4,6,69,0,1,144,22,13,14,0,0,4,0,0,146,0,0
"ANPP_2",13,1,0,98,37,0,14,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,113,60,14,131,63,13,9,3,0,0,0,0,36,33,0,0,0,0,1,0,0,0,0,0
"biomass",12,6,0,110,70,2,11,0,1,0,0,1,1,2,24,33,0,4,1,0,0,0,134,78,6,179,177,4,12,22,1,31,0,0,117,46,6,8,0,0,1,0,0,0,1,0
"deadwood_down",12,0,0,21,1,0,1,0,0,0,0,0,0,0,15,1,0,3,0,0,0,0,16,0,0,72,43,0,0,0,0,6,0,0,95,24,9,0,0,0,1,0,0,117,0,0
"ANPP_foliage",11,1,0,46,26,0,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,158,52,3,134,39,7,5,3,0,0,0,0,10,86,13,4,0,0,0,0,0,0,0,0
"ANPP_woody",11,1,0,42,23,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,26,1,94,34,7,0,0,0,0,0,0,3,18,0,0,0,0,0,0,0,0,0,0
"soil_C2N",11,0,3,14,3,1,0,0,2,0,1,0,1,0,1,0,1,1,1,0,0,0,65,22,35,97,20,7,6,6,12,0,0,0,18,5,27,0,0,0,3,0,0,0,0,0
