"","Koeppen_name","Forest_type","age100","ANPP_0","ANPP_1","ANPP_2","ANPP_foliage","ANPP_folivory","ANPP_litterfall_0","ANPP_litterfall_1","ANPP_litterfall_2","ANPP_repro","ANPP_woody","ANPP_woody_branch","ANPP_woody_stem","biomass","biomass_ag","biomass_ag_foliage","biomass_ag_understory","biomass_ag_woody","biomass_root","biomass_root_coarse","biomass_root_fine","BNPP_root","BNPP_root_coarse","BNPP_root_fine","deadwood","deadwood_down","deadwood_standing","delta.agb","foliage_pN","GPP","LAI","leaf_C2N","leaf_pN","N.mineralization","NEE","NEE_cum","NEP","NPP_0","NPP_1","NPP_2","NPP_3","NPP_4","NPP_5","NPP_understory","NPP_woody","organic.layer","R_auto","R_auto_ag","R_auto_foliage","R_auto_root","R_auto_wood","R_eco","R_het_soil","R_soil","soil","stand.density","TBCF","total.ecosystem","total.ecosystem_2","woody.mortality_ag"
"1","boreal","broadleaf","< 100 years",0,0,13,11,0,0,0,2,0,11,1,0,12,38,9,0,4,14,7,7,8,3,7,0,5,6,0,0,36,0,0,0,0,37,0,0,0,8,7,0,0,1,7,0,7,3,0,0,0,0,34,2,4,6,0,0,0,0,0
"2","boreal","broadleaf","100 - 200 years",0,1,1,1,0,0,0,0,0,1,1,1,6,14,1,0,1,6,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","boreal","broadleaf","age unknown",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","boreal","conifer","< 100 years",5,15,71,42,0,0,0,0,0,38,15,19,67,126,39,0,39,67,23,24,42,22,22,1,0,16,0,0,72,21,0,0,0,68,0,4,0,44,10,0,0,0,19,0,1,4,0,0,0,0,43,6,12,0,0,3,0,0,0
"5","boreal","conifer","> 200 years",0,4,10,9,0,0,0,0,0,9,4,4,8,40,4,0,4,7,4,3,7,4,7,0,0,0,0,0,1,1,0,0,0,1,0,0,0,7,2,0,0,0,3,0,0,0,0,0,0,0,1,1,1,4,1,0,4,0,0
"6","boreal","conifer","100 - 200 years",3,3,22,18,0,0,0,0,0,15,2,5,49,220,17,0,13,49,13,11,16,8,13,1,1,5,0,0,91,10,0,0,0,50,1,0,0,17,8,0,0,1,10,0,2,3,0,0,0,0,40,8,8,1,0,1,0,0,0
"7","boreal","conifer","age unknown",1,0,0,0,0,0,0,0,0,0,0,0,3,29,0,0,0,3,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
"8","boreal","mix","< 100 years",9,0,12,17,0,0,0,0,0,12,0,5,5,19,0,0,0,0,0,0,11,8,11,3,0,0,0,0,7,5,0,0,0,21,0,0,0,17,14,0,0,0,9,0,5,3,0,0,0,0,4,12,9,0,0,0,0,0,0
"9","boreal","mix","> 200 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"10","boreal","mix","100 - 200 years",0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","boreal","mix","age unknown",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","boreal","other veg type","age unknown",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","other biome","broadleaf","< 100 years",0,0,1,2,0,0,0,0,0,0,1,0,1,3,2,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","other biome","broadleaf","> 200 years",0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","other biome","broadleaf","age unknown",0,0,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
"16","other biome","conifer","< 100 years",0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,4,0,5,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","other biome","conifer","> 200 years",0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,0,0,5,0,0,0,0,0,5,5,5,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","other biome","conifer","100 - 200 years",0,0,0,0,0,0,0,0,0,0,0,0,28,31,1,1,1,26,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","other biome","conifer","age unknown",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,2,1,0,0,0,0,0
