gez_name,gez_code,gez_abbrev,AREA
Boreal coniferous forest,41,Ba,3492149169
Boreal mountain system,43,BM,2619833186
Boreal tundra woodland,42,Bb,2104020444
Polar,50,P,78836257359
Subtropical desert,24,SBWh,693445161.1
Subtropical dry forest,22,SCs,258012409.7
Subtropical humid forest,21,SCf,641905347.1
Subtropical mountain system,25,SM,704064529.7
Subtropical steppe,23,SBSh,670061592.5
Temperate continental forest,32,TeDc,1594877823
Temperate desert,34,TeBWk,1066322089
Temperate mountain system,35,TeM,1381435900
Temperate oceanic forest,31,TeDo,431403339.6
Temperate steppe,33,TeBSk,1290386278
Tropical desert,15,TBWh,1563246294
Tropical dry forest,13,TAwb,865995772.5
Tropical moist forest,12,TAwa,1164893427
Tropical mountain system,16,TM,483097257.5
Tropical rainforest,11,TAr,1505082737
Tropical shrubland,14,TBSh,888365499.5
Water,90,Water,182289541.1
