"sites.sitename","lat","lon","mat","map"
"Aguas Claras",9.333333,-79.833333,26.5,3237
"Alberga",5.341,-55.764,26.7,2234
"Allpahuayo A",-4,-73.4,26.5,2730
"Allpahuayo B",-4,-73.4,26.5,2730
"Amacayacu E",-3.72,-70.3,25.8,2806
"Amacayacu U",-3.72,-70.3,25.8,2806
"Apiau,Roraima",2.57,-61.3,27,1785
"Atherton Gadgarra",-17.3,145.72,21.1,2588
"Atherton Wongabel",-17.32,145.5,20.5,1755
"Banco Valley",5.38,-4.03,26.1,1774
"Barama, NW Guyana",7.7,-59.943,26.2,2510
"BCI.poachers1",9.28,-79.8,26.1,3019
"BCI.poachers2",9.28,-79.8,26.1,3019
"BCI.poachers3",9.28,-79.8,26.1,3019
"BCI.poachers4",9.28,-79.8,26.1,3019
"BDFFP FASTIO",-2.333333333,-60,26.8,2549
"BDFFP Fazenda Agroman",-2.333333333,-60,26.8,2549
"BDFFP Fazenda Esteio",-2.41667,-59.76667,27,2411
"BDFFP Fazenda Maringa",-2.333333333,-60,26.8,2549
"BDFFP Fazenda Porto Alegre",-2.348,-60,26.9,2525
"BDFFP km 67",-2.333333333,-60,26.8,2549
"BDFFP Reserve",-2.5,-60,27,2319
"Bionte averaged (Chao2009)",-2.63,-60.17,27,2258
"Bisley",18.32,-65.82,23,2574
"Bissiga B12",12.6833,-1.1667,28.3,701
"Bitagron",5.079,-56.201,26.7,2264
"Boqueron",9.333333,-79.833333,26.5,3237
"BR-319_M01_TN_1500",-3.353,-59.856,27.3,2155
"BR-319_M01_TN_3500",-3.346,-59.83,27.3,2158
"BR-319_M02_TN_0500",-3.688,-60.332,27.2,2173
"BR-319_M02_TN_1500",-3.683,-60.324,27.2,2173
"BR-319_M02_TN_4500",-3.669,-60.301,27.2,2169
"BR-319_M04_TN_0500",-4.383,-60.943,26.9,2403
"BR-319_M04_TN_3500",-4.402,-60.923,26.9,2403
"BR-319_M05_TN_(-)0500",-4.616,-61.244,26.7,2611
"BR-319_M05_TN_1500",-4.603,-61.258,26.7,2607
"BR-319_M06_TN_(-)0500",-4.984,-61.571,26.6,2619
"BR-319_M06_TN_0500",-4.99,-61.563,26.6,2621
"BR-319_M06_TN_1500",-4.994,-61.556,26.6,2621
"BR-319_M06_TN_2500",-4.999,-61.549,26.6,2623
"BR-319_M08_TS_0500",-5.629,-62.194,26.4,2588
"BR-319_M08_TS_1500",-5.634,-62.186,26.4,2591
"BR-319_M08_TS_2500",-5.638,-62.178,26.4,2593
"BR-319_M09_TS_2500",-5.947,-62.51,26.3,2556
"BR-319_M09_TS_3500",-5.94,-62.516,26.3,2556
"BR-319_M10_TS_1500",-6.574,-62.931,26.3,2430
"BR-319_M10_TS_2500",-6.575,-62.922,26.3,2430
"BR-319_M11_TN_1500",-7.207,-63.117,26.4,2268
"BR-319_M11_TN_2500",-7.211,-63.109,26.4,2270
"Brownsberg",4.946,-55.178,24.7,2447
"Capitao Paco,Para 1",-1.73,-47.2,26.1,2271
"Capitao Paco,Para 2",-1.73,-47.2,26.1,2271
"Caqueta (Poorter)",-0.417,-70.5,26,2998
"Caxiuana",-1.72,-51.45,26.7,2205
"Chajul",16.017,-90.917,25.9,3140
"Chamela - ReSerBos",19.483,-105.033,26.1,803
"Charabaru",4.937,-58.355,26.6,2503
"Chiribiquete, Tepuy",0.07,-72.4,26.8,2827
"Chiribiquete,TF Alta",0.07,-72.4,26.8,2827
"Cockscomb",16.794,-88.555,25.1,2413
"Colorado Forest",18.3,-65.7,25.7,1974
"COMARA",-0.085,-66.89,26.5,2882
"Congo Eucalyptus plantation chronosequence",-4,12,24.8,1375
"Corinto",10.204,-83.883,24.8,4122
"Cuieiras Reserve Plateau CUR1",-2.58,-60.1,26.9,2237
"Cuieiras Reserve Plateau CUR3",-2.57,-60.1,26.9,2246
"Cuieiras Reserve Slope CUR4",-2.57,-60.1,26.9,2246
"Cuieiras Reserve Valley CUR2",-2.58,-60.1,26.9,2237
"Cuieiras Reserve Valley CUR5",-2.58,-60.1,26.9,2237
"Curua-Una e-serve",-2,-54,27.2,1693
"Darien-Premontane wet",8.655,-78.125,26.5,1754
"Darien-Riverine",8.655,-78.125,26.5,1754
"Darwin",10.681,-84.15,25.8,3665
"El Dorado/Rio Grande",6.1,-61.4,25.6,2503
"Fazenda Cauaxi",-3.73,-48.29,26.7,1994
"Fazenda Vitoria 2",-2.916667,-47.566667,26.4,1914
"Fireburn",18.205,-88.188,25.7,1431
"Gonse G10",12.399398,-1.303261,28.3,749
"Gonse G5",12.399398,-1.303261,28.3,749
"Gran Sabana,Guayana",5,-61.3,22.4,2109
"Guama, Para",-1.37,-48.5,27,2143
"Howard Springs",-12.29,131.09,27.3,1548
"Howard Springs Fluxnet site",-12.4952,131.15005,27.2,1486
"INPA 1",-16.311,-61.695,23.2,1112
"INPA 2",-16.142,-61.728,23.5,1122
