lon,lat,area_km2,tmp,pre,pet
-179.75,66.25,1250,-9.625,408,206.46833333333336
-179.75,66.75,1220,-10.316666666666666,390,202.45333333333335
-179.75,67.25,1200,-11.616666666666667,363,183.35166666666666
-179.75,67.75,1170,-11.725,354,184.08166666666668
-179.75,68.25,1150,-12.983333333333334,323,176.53833333333333
-179.75,68.75,1120,-12.091666666666667,330,177.63333333333333
-179.75,71.25,994,-13.416666666666668,147,180.06666666666666
-179.25,66.25,1250,-8.119,429.86,229.95000000000002
-179.25,66.75,1220,-9.709666666666667,392.132,197.95166666666668
-179.25,67.25,1200,-9.976666666666667,377.42,198.07333333333335
-179.25,67.75,1170,-10.606666666666667,353.42400000000004,187.73166666666668
-179.25,68.25,1150,-10.987,321.052,181.04000000000002
-179.25,71.25,994,-13.009666666666668,136.076,175.565
-178.75,65.75,1270,-6.321666666666667,452.776,NA
-178.75,66.25,1250,-7.742333333333334,475.11600000000004,229.09833333333336
-178.75,66.75,1220,-9.415666666666667,424.572,198.68166666666667
-178.75,67.25,1200,-9.300333333333334,395.49600000000004,201.6016666666667
-178.75,67.75,1170,-10.003333333333334,367.92400000000004,192.84166666666667
-178.75,68.25,1150,-9.981333333333334,346.1,194.18
-178.75,71.25,994,-12.277333333333335,138.656,176.41666666666669
-178.25,65.75,1270,-7.029000000000001,498.72,235.425
-178.25,66.25,1250,-7.630666666666667,474.548,227.8816666666667
-178.25,66.75,1220,-9.177333333333333,429.04,196.97833333333335
-178.25,67.25,1200,-9.356,406.264,198.56
-178.25,67.75,1170,-9.692333333333334,381.724,194.18
-178.25,68.25,1150,-9.575000000000001,360.10400000000004,199.53333333333336
-178.25,71.25,994,-11.495333333333335,150.616,178.85000000000002
-177.75,65.75,1270,-7.074333333333334,497.48400000000004,230.55833333333337
-177.75,66.25,1250,-8.011666666666667,467.66,213.03833333333336
-177.75,66.75,1220,-9.588000000000001,426.596,189.07000000000002
-177.75,67.25,1200,-8.845,413.85200000000003,202.94
-177.75,67.75,1170,-8.964666666666666,390.14,203.79166666666669
-177.25,-43.75,2230,NA,NA,NA
-177.25,65.75,1270,-7.376666666666667,492.88800000000003,219.00000000000003
-177.25,66.25,1250,-8.049666666666667,461.072,211.335
-177.25,66.75,1220,-8.743,433.85200000000003,200.26333333333335
